date,hour,power,head,volume,flow,price
2024/4/9,0,4.244707,75.192566,336261.7,7.1481037,48.59
2024/4/9,1,0.0,75.192566,336261.7,0.0,38.15
2024/4/9,2,5.9659796,72.323586,376856.47,11.276331,38.54
2024/4/9,3,4.9583044,69.86682,410042.3,9.218294,41.84
2024/4/9,4,4.320348,67.62678,438681.8,7.9554157,41.1
2024/4/9,5,2.8893013,66.088135,457276.44,5.1651745,58.65
2024/4/9,6,2.7912169,64.50291,475407.03,5.0362797,63.05
2024/4/9,7,2.4390175,63.018684,491385.2,4.4383755,46.47
2024/4/9,8,-3.95123,65.47693,464394.47,-7.4974203,32.52
2024/4/9,9,-4.524275,68.01773,433810.56,-8.495528,27.12
2024/4/9,10,-4.645008,70.34576,403705.66,-8.362472,17.48
2024/4/9,11,-5.8663435,73.04361,366838.0,-10.241012,4.08
2024/4/9,12,-4.773543,75.03137,338588.47,-7.8470907,4.28
2024/4/9,13,-5.185555,77.08095,308617.6,-8.32524,19.69
2024/4/9,14,-6.4142666,79.43543,273127.2,-9.858443,13.22
2024/4/9,15,-6.762463,81.72072,237493.1,-9.89836,22.92
2024/4/9,16,3.9376783,80.332634,259283.36,6.0528507,41.91
2024/4/9,17,4.2710457,78.7347,283813.44,6.8139133,57.73
2024/4/9,18,4.911231,76.73316,313762.44,8.31917,53.42
2024/4/9,19,4.414728,74.87384,340857.2,7.5263157,48.34
2024/4/9,20,3.8015997,73.23474,364158.47,6.472582,40.43
2024/4/9,21,-5.334989,75.472404,332210.06,-8.874557,25.0
2024/4/9,22,0.0,75.472404,332210.06,0.0,25.84
2024/4/9,23,-6.3302,77.918434,296127.72,-10.022872,6.65
2024/7/9,0,-6.27374,79.27037,275654.22,-9.687301,53.14
2024/7/9,1,-6.426313,81.47148,241439.56,-9.504073,41.26
2024/7/9,2,-6.5359926,83.55311,208025.58,-9.281661,38.7
2024/7/9,3,-6.179514,85.4138,177384.55,-8.511397,49.9
2024/7/9,4,4.2711077,84.07139,199553.95,6.158167,58.21
2024/7/9,5,5.3783264,82.20475,229786.0,8.397791,75.38
2024/7/9,6,5.490372,80.15319,262066.94,8.9669285,75.58
2024/7/9,7,0.0,80.15319,262066.94,0.0,59.81
2024/7/9,8,-7.0893226,82.47672,225430.89,-10.176681,46.63
2024/7/9,9,-6.382655,84.45357,193272.88,-8.932784,33.71
2024/7/9,10,-7.434361,86.59495,157711.72,-9.878097,21.95
2024/7/9,11,-7.924836,88.80177,121199.59,-10.142257,7.32
2024/7/9,12,-6.438282,90.63316,92135.32,-8.073409,5.31
2024/7/9,13,-6.603238,92.602745,63272.316,-8.017501,12.12
2024/7/9,14,0.0,92.602745,63272.316,0.0,46.43
2024/7/9,15,7.5235147,90.18738,99045.81,9.937082,77.36
2024/7/9,16,5.081344,88.66853,123372.984,6.7575474,102.11
