date,hour,power,head,volume,flow,price
2024/4/9,0,5.0893254,74.74251,342744.8,8.9489765,48.59
2024/4/9,1,0.0,74.74251,342744.8,0.0,38.15
2024/4/9,2,4.39894,72.78233,370487.34,7.7062626,38.54
2024/4/9,3,4.2557707,70.78889,397782.3,7.581934,41.84
2024/4/9,4,5.184944,68.0365,433575.38,9.942522,41.1
2024/4/9,5,4.852174,65.22411,467292.22,9.365789,58.65
2024/4/9,6,3.8407316,62.856556,493071.22,7.160837,63.05
2024/4/9,7,4.468107,59.590893,524571.7,8.750128,46.47
2024/4/9,8,-3.780726,62.43114,497439.47,-7.536727,32.52
2024/4/9,9,-4.064675,65.06131,469143.8,-7.859908,27.12
2024/4/9,10,-4.8356013,67.85934,435790.9,-9.264693,17.48
2024/4/9,11,-4.979082,70.39457,403055.88,-9.093062,4.08
2024/4/9,12,-5.232403,72.811806,370076.5,-9.1609335,4.28
2024/4/9,13,-5.277348,75.05498,338248.06,-8.841231,19.69
2024/4/9,14,-5.8441668,77.36466,304402.53,-9.401534,13.22
2024/4/9,15,-5.5714827,79.41586,273427.06,-8.604293,22.92
2024/4/9,16,5.720469,77.0372,309266.1,9.955286,41.91
2024/4/9,17,5.6396117,74.520645,345925.62,10.183199,57.73
2024/4/9,18,5.0669994,72.15945,379123.3,9.221582,53.42
2024/4/9,19,3.7491472,70.414185,402794.75,6.575403,48.34
2024/4/9,20,5.1362796,67.65834,438290.7,9.859987,40.43
2024/4/9,21,-4.3027115,69.81558,410716.16,-7.6595907,25.0
2024/4/9,22,0.0,69.81558,410716.16,0.0,25.84
2024/4/9,23,-5.7828326,72.53167,373973.75,-10.206222,6.65
2024/7/9,0,-5.3748426,78.95316,280493.47,-8.343062,53.14
2024/7/9,1,-6.9580956,81.328514,243696.58,-10.221358,41.26
2024/7/9,2,-7.200732,83.59804,207293.44,-10.111983,38.7
2024/7/9,3,-6.3264704,85.49626,176014.31,-8.688643,49.9
2024/7/9,4,4.641297,84.01938,200406.58,6.775629,58.21
2024/7/9,5,6.136433,81.81464,236002.03,9.887629,75.38
2024/7/9,6,5.971875,79.50281,272093.9,10.025522,75.58
2024/7/9,7,0.0,79.50281,272093.9,0.0,59.81
2024/7/9,8,-6.2323346,81.63033,238926.02,-9.213302,46.63
2024/7/9,9,-6.863881,83.79065,204149.73,-9.660079,33.71
2024/7/9,10,-6.908101,85.83125,170441.31,-9.363448,21.95
2024/7/9,11,-7.213107,87.8642,136603.7,-9.399337,7.32
2024/7/9,12,-7.9300747,90.076256,100786.8,-9.9491415,5.31
2024/7/9,13,-8.129448,92.46135,65244.105,-9.87297,12.12
2024/7/9,14,0.0,92.46135,65244.105,0.0,46.43
2024/7/9,15,7.2883234,90.12044,100093.766,9.68046,77.36
2024/7/9,16,7.2484365,87.84493,136922.44,10.230188,102.11
2024/7/9,17,7.432031,85.445,176866.23,11.095499,110.09
2024/7/9,18,6.3688226,83.25533,212867.03,10.000223,121.81
2024/7/9,19,6.4684796,80.840866,251358.27,10.692011,108.05
2024/7/9,20,6.35694,78.25759,291028.34,11.0194645,87.85
2024/7/9,21,4.918965,76.22216,321277.75,8.402613,82.93
2024/7/9,22,4.9619575,74.03525,352849.47,8.769922,73.97
2024/7/9,23,4.479707,71.98849,381477.22,7.9521503,64.4
2024/10/5,0,4.312904,75.1581,336759.7,7.28644,81.4
2024/10/5,1,0.0,75.1581,336759.7,0.0,75.54
2024/10/5,2,0.0,75.1581,336759.7,0.0,75.72
2024/10/5,3,0.0,75.1581,336759.7,0.0,79.82
2024/10/5,4,4.1230335,73.36882,362274.03,7.0873203,86.2
2024/10/5,5,3.956622,71.575775,387129.44,6.9042835,100.4
2024/10/5,6,4.189122,69.54483,414262.97,7.5370884,110.0
2024/10/5,7,3.7719235,67.62451,438709.88,6.790804,94.99
2024/10/5,8,-4.2529864,69.753914,411526.03,-7.55107,67.67
2024/10/5,9,-5.1992903,72.21313,378382.75,-9.206466,47.21
2024/10/5,10,-5.2818303,74.50337,346172.88,-8.947188,32.51
2024/10/5,11,-5.713924,76.80414,312714.5,-9.29399,26.72
2024/10/5,12,-6.5868454,79.230545,276263.03,-10.125411,6.8
