date,hour,power,head,volume,flow,price
2024/4/9,0,2.9894288,75.74199,328292.1,4.934328,48.59
2024/4/9,1,3.4799,74.29095,349208.16,5.8100147,38.15
2024/4/9,2,4.1693625,72.43182,375358.3,7.263933,38.54
2024/4/9,3,3.661202,70.747734,398334.72,6.3823338,41.84
2024/4/9,4,4.8530593,68.226776,431182.78,9.12446,41.1
2024/4/9,5,4.7337236,65.53099,463771.25,9.052351,58.65
2024/4/9,6,4.1114297,62.992783,491655.3,7.745569,63.05
2024/4/9,7,3.3266027,60.751728,513903.12,6.179949,46.47
2024/4/9,8,3.329543,58.219093,536463.3,6.266714,32.52
2024/4/9,9,-4.056056,61.58047,505933.47,-8.480514,27.12
2024/4/9,10,-3.931245,64.23148,478402.0,-7.647628,17.48
2024/4/9,11,-4.8143964,67.136215,444712.03,-9.358321,4.08
2024/4/9,12,-4.5652328,69.50851,414737.0,-8.3264,4.28
2024/4/9,13,-5.530996,72.14798,379281.3,-9.8488,19.69
2024/4/9,14,-5.2903714,74.4472,346976.5,-8.973556,13.22
2024/4/9,15,-5.6291366,76.719284,313967.25,-9.169234,22.92
2024/4/9,16,5.975027,73.98072,353624.0,11.015764,41.91
2024/4/9,17,4.156079,72.112114,379775.75,7.2643757,57.73
2024/4/9,18,4.061587,70.18992,405775.06,7.2220325,53.42
2024/4/9,19,4.3536034,67.95477,434598.8,8.006601,48.34
2024/4/9,20,3.7158563,65.94603,458945.47,6.7629604,40.43
2024/4/9,21,0.0,65.94603,458945.47,0.0,25.0
2024/4/9,22,0.0,65.94603,458945.47,0.0,25.84
2024/4/9,23,-4.875299,68.649216,425824.8,-9.200179,6.65
2024/7/9,0,0.0,76.951965,310528.5,0.0,53.14
2024/7/9,1,-5.153297,78.86259,281871.16,-7.960372,41.26
2024/7/9,2,-6.2637153,81.04408,248172.4,-9.360763,38.7
2024/7/9,3,-6.987991,83.277374,212509.31,-9.906417,49.9
2024/7/9,4,0.0,83.277374,212509.31,0.0,58.21
2024/7/9,5,6.319029,80.93045,249955.1,10.401606,75.38
2024/7/9,6,4.055717,79.45644,272805.03,6.347208,75.58
2024/7/9,7,3.7023218,78.0606,293993.2,5.885599,59.81
2024/7/9,8,-6.754301,80.44409,257550.5,-10.12297,46.63
2024/7/9,9,-7.0799375,82.74382,221136.81,-10.114913,33.71
2024/7/9,10,-7.0720515,84.88553,186142.56,-9.720626,21.95
2024/7/9,11,-7.137127,86.93182,152095.77,-9.457442,7.32
2024/7/9,12,-6.972287,88.8845,119853.37,-8.956222,5.31
2024/7/9,13,-7.8871303,91.11579,84798.47,-9.737472,12.12
2024/7/9,14,0.0,91.11579,84798.47,0.0,46.43
2024/7/9,15,6.9747734,88.91653,119332.81,9.592875,77.36
2024/7/9,16,5.1179786,87.37861,144658.69,7.0349674,102.11
2024/7/9,17,6.992578,85.091576,182731.12,10.575678,110.09
2024/7/9,18,5.922951,83.06014,216029.84,9.249643,121.81
2024/7/9,19,5.4440937,81.092766,247407.66,8.716059,108.05
2024/7/9,20,3.6356952,79.79237,267641.6,5.6205387,87.85
2024/7/9,21,6.0492773,77.272545,305772.88,10.59202,82.93
2024/7/9,22,5.616391,74.787186,342103.06,10.091715,73.97
2024/7/9,23,6.0010557,71.85656,383288.66,11.440439,64.4
2024/10/5,0,4.951448,74.81881,341648.6,8.644472,81.4
2024/10/5,1,4.6346135,72.73066,371207.22,8.210726,75.54
2024/10/5,2,5.217165,70.13738,406471.16,9.795542,75.72
2024/10/5,3,4.187129,68.00469,433974.03,7.6396885,79.82
2024/10/5,4,4.50064,65.46014,464587.78,8.503817,86.2
2024/10/5,5,3.4057558,63.42924,487063.34,6.2432117,100.4
2024/10/5,6,4.2105985,60.512455,516148.8,8.079298,110.0
2024/10/5,7,4.0125513,57.299023,544026.1,7.7437,94.99
2024/10/5,8,2.4967823,55.03651,561320.4,4.803953,67.67
2024/10/5,9,-3.9094045,58.92373,530449.5,-8.57524,47.21
2024/10/5,10,-4.169801,62.255066,499223.88,-8.673781,32.51
2024/10/5,11,-4.4135523,65.18756,467709.0,-8.754134,26.72
2024/10/5,12,-5.2146673,68.19017,431644.25,-10.017989,6.8
2024/10/5,13,-5.0843964,70.74668,398348.94,-9.248702,29.52
2024/10/5,14,-5.9085507,73.4238,361500.2,-10.235763,44.56
2024/10/5,15,4.3048167,71.440605,388971.22,7.630846,69.57
2024/10/5,16,4.5295377,69.19055,418868.4,8.304773,93.86
2024/10/5,17,4.259562,66.932655,447186.8,7.866228,109.86
2024/10/5,18,4.5416746,64.2298,478420.4,8.675997,100.28
2024/10/5,19,4.5623765,61.11098,510485.06,8.906847,83.55
2024/10/5,20,2.726665,59.115746,528776.4,5.0809116,78.6
2024/10/5,21,2.0092528,57.50459,542364.3,3.7744293,67.0
2024/10/5,22,-4.1970696,61.15686,510044.34,-8.977767,55.35
