date,prices_hourly,matched_from_2024_date,distance
2020-09-23,"38.320000,37.150000,36.050000,39.400000,40.390000,53.210000,58.320000,45.890000,28.300000,26.600000,26.700000,25.700000,25.700000,17.190000,20.730000,44.000000,55.250000,60.540000,51.220000,44.050000,28.000000,24.830000,32.740000,31.080000",2024-04-09,52.11374697497833
2021-07-06,"71.190000,54.230000,46.360000,56.480000,61.850000,93.350000,97.060000,87.290000,76.800000,50.380000,24.870000,25.420000,10.760000,20.750000,43.230000,70.000000,91.460000,99.940000,103.470000,103.970000,101.910000,91.280000,82.340000,75.060000",2024-07-09,69.72872659700555
2023-10-06,"77.960000,75.060000,65.940000,71.780000,94.240000,117.450000,120.720000,104.390000,85.010000,65.140000,36.530000,20.310000,13.760000,42.810000,62.940000,86.860000,104.930000,113.400000,103.260000,89.390000,79.360000,79.680000,70.310000,45.640000",2024-10-05,53.26781685148319
2021-06-21,"61.030000,58.900000,58.620000,62.500000,76.100000,88.940000,92.000000,90.000000,86.280000,82.000000,78.480000,69.930000,67.340000,72.050000,75.130000,82.940000,88.970000,93.790000,94.070000,91.270000,86.090000,77.800000,74.030000,68.380000",2024-01-30,26.872612041895216
2021-07-18,"50.860000,50.100000,45.430000,46.370000,50.750000,47.420000,54.820000,46.570000,35.330000,25.780000,19.560000,0.100000,-1.040000,-5.000000,0.010000,22.500000,58.020000,74.620000,88.090000,93.200000,94.190000,91.130000,92.220000,70.860000",2024-08-03,55.28761070146242
2023-05-18,"89.240000,83.090000,79.420000,79.710000,80.680000,91.000000,90.480000,81.260000,72.760000,65.470000,63.720000,44.160000,29.410000,43.080000,71.560000,84.160000,98.470000,111.920000,122.510000,114.230000,109.610000,98.760000,93.020000,83.200000",2024-07-19,39.787925400724205
2021-06-03,"55.400000,51.960000,54.150000,54.080000,54.100000,66.000000,76.070000,81.880000,83.350000,76.890000,64.660000,59.300000,57.270000,59.300000,65.740000,69.300000,75.000000,81.990000,82.030000,80.140000,79.320000,73.400000,66.410000,62.920000",2024-02-14,25.147713711336095
2023-11-16,"83.310000,84.570000,82.140000,88.120000,92.890000,102.720000,126.900000,129.990000,128.590000,120.100000,116.620000,122.630000,126.660000,134.670000,144.380000,143.810000,164.020000,132.550000,125.260000,121.190000,115.000000,110.200000,100.850000,106.000000",2024-11-21,45.615723846192616
2021-07-31,"7.830000,2.940000,2.820000,6.220000,11.610000,18.860000,35.920000,19.950000,10.370000,6.090000,-3.840000,-20.030000,-15.030000,-14.590000,-1.380000,13.320000,51.070000,69.360000,77.510000,70.910000,87.560000,77.870000,62.690000,61.350000",2024-06-16,79.60198714255411
2023-11-15,"76.420000,72.900000,70.690000,74.450000,81.140000,96.940000,116.710000,121.720000,110.040000,100.100000,90.840000,86.040000,85.550000,85.640000,98.260000,110.280000,122.920000,129.900000,121.080000,110.440000,97.650000,91.660000,84.210000,85.480000",2024-01-09,46.251729952669415
