hour,p_T,p_P,p_total,q,h,v_low,price,solution_time,mode,p_sim,q_sim,h_sim,v_low_sim,mode_sim,date,solution_time_seconds,opt_objective,sim_profit,si_penalty,vol_penalty,op_cost
0,0.0,0.0,0.0,0.0,77.0,310351.0483917608,-0.07999999821186066,301.467937707901,Idle,0.0,0.0,76.95196533203125,310528.5,Idle,2024-10-21,301.467937707901,3521.9079999344485,3515.41455078125,0.0,6.493633270263672,1133.6143798828125
1,0.0,-6.969488733111214,-6.969488733111214,-10.099243666034427,79.40242116800593,273993.7711940368,-0.03999999910593033,301.467937707901,Pump,-6.9694886,-10.154472,79.38026428222656,310528.5,Pump,2024-10-21,301.467937707901,3521.9079999344485,3515.41455078125,0.0,6.493633270263672,1133.6143798828125
2,0.0,-7.162875139961334,-7.162875139961334,-10.0085253512039,81.66801919508029,237963.0799297028,0.09000000357627869,301.467937707901,Pump,-7.162875,-9.989861,81.68819427490234,273972.4,Pump,2024-10-21,301.467937707901,3521.9079999344485,3515.41455078125,0.0,6.493633270263672,1133.6143798828125
3,0.0,-6.636347549612398,-6.636347549612398,-9.042522665246196,83.69318183485925,205409.99833481654,5.909999847412109,301.467937707901,Pump,-6.636348,-9.040886,83.7103271484375,238008.9,Pump,2024-10-21,301.467937707901,3521.9079999344485,3515.41455078125,0.0,6.493633270263672,1133.6143798828125
4,0.0,0.0,0.0,0.0,83.69318183485841,205409.99833481642,44.880001068115234,301.467937707901,Idle,0.0,0.0,83.7103271484375,205461.72,Idle,2024-10-21,301.467937707901,3521.9079999344485,3515.41455078125,0.0,6.493633270263672,1133.6143798828125
5,3.3416019238243226,0.0,3.3416019238243226,4.923364064411629,82.59590334503388,223134.1089666984,96.16999816894531,301.467937707901,Turbine,3.3416018,4.98053,82.60369873046875,205461.72,Turbine,2024-10-21,301.467937707901,3521.9079999344485,3515.41455078125,0.0,6.493633270263672,1133.6143798828125
6,4.633901960604404,0.0,4.633901960604404,7.382574061055491,80.92548082609021,249711.37558649818,120.30999755859375,301.467937707901,Turbine,4.633902,7.432083,80.91819763183594,223391.62,Turbine,2024-10-21,301.467937707901,3521.9079999344485,3515.41455078125,0.0,6.493633270263672,1133.6143798828125
7,3.823625863882109,0.0,3.823625863882109,6.032506982569143,79.5479088512286,271428.4007237471,103.9000015258789,301.467937707901,Turbine,3.8236258,6.0744133,79.50794982910156,250147.12,Turbine,2024-10-21,301.467937707901,3521.9079999344485,3515.41455078125,0.0,6.493633270263672,1133.6143798828125
8,3.102619037390646,0.0,3.102619037390646,4.940321543600749,78.39899602274964,289213.5582807098,89.62999725341797,301.467937707901,Turbine,3.102619,4.9373283,78.33975219726562,272015.0,Turbine,2024-10-21,301.467937707901,3521.9079999344485,3515.41455078125,0.0,6.493633270263672,1133.6143798828125
9,0.0,0.0,0.0,0.0,78.39899602274964,289213.5582807098,82.56999969482422,301.467937707901,Idle,0.0,0.0,78.33975219726562,289789.38,Idle,2024-10-21,301.467937707901,3521.9079999344485,3515.41455078125,0.0,6.493633270263672,1133.6143798828125
10,0.0,0.0,0.0,0.0,78.39899602275221,289213.55828067113,75.81999969482422,301.467937707901,Idle,0.0,0.0,78.33975219726562,289789.38,Idle,2024-10-21,301.467937707901,3521.9079999344485,3515.41455078125,0.0,6.493633270263672,1133.6143798828125
11,0.0,0.0,0.0,0.0,78.39899602275221,289213.55828067113,81.5999984741211,301.467937707901,Idle,0.0,0.0,78.33975219726562,289789.38,Idle,2024-10-21,301.467937707901,3521.9079999344485,3515.41455078125,0.0,6.493633270263672,1133.6143798828125
12,0.0,0.0,0.0,0.0,78.39899602275204,289213.55828067334,81.44000244140625,301.467937707901,Idle,0.0,0.0,78.33975219726562,289789.38,Idle,2024-10-21,301.467937707901,3521.9079999344485,3515.41455078125,0.0,6.493633270263672,1133.6143798828125
13,0.0,0.0,0.0,0.0,78.39899602275199,289213.55828067334,83.08999633789062,301.467937707901,Idle,0.0,0.0,78.33975219726562,289789.38,Idle,2024-10-21,301.467937707901,3521.9079999344485,3515.41455078125,0.0,6.493633270263672,1133.6143798828125
14,0.0,0.0,0.0,0.0,78.39899602275206,289213.55828067334,91.48999786376953,301.467937707901,Idle,0.0,0.0,78.33975219726562,289789.38,Idle,2024-10-21,301.467937707901,3521.9079999344485,3515.41455078125,0.0,6.493633270263672,1133.6143798828125
15,3.0355261464511267,0.0,3.0355261464511267,4.94508224558551,77.2207415901476,307015.8543647812,106.19000244140625,301.467937707901,Turbine,3.035526,4.9110146,77.15837097167969,289789.38,Turbine,2024-10-21,301.467937707901,3521.9079999344485,3515.41455078125,0.0,6.493633270263672,1133.6143798828125
16,4.796250855261152,0.0,4.796250855261152,8.604400249012533,75.13568077166323,337991.69526122627,148.8000030517578,301.467937707901,Turbine,4.796251,8.539917,75.05742645263672,307469.03,Turbine,2024-10-21,301.467937707901,3521.9079999344485,3515.41455078125,0.0,6.493633270263672,1133.6143798828125
17,5.752667395157273,0.0,5.752667395157273,11.196922604612224,72.31113672794847,378300.6166378303,170.8000030517578,301.467937707901,Turbine,5.7526674,11.173103,72.20927429199219,338212.72,Turbine,2024-10-21,301.467937707901,3521.9079999344485,3515.41455078125,0.0,6.493633270263672,1133.6143798828125
18,3.6437102773523904,0.0,3.6437102773523904,6.447756890908382,70.54457711956212,401512.54144510045,119.48999786376953,301.467937707901,Turbine,3.6437104,6.4661446,70.49522399902344,378435.88,Turbine,2024-10-21,301.467937707901,3521.9079999344485,3515.41455078125,0.0,6.493633270263672,1133.6143798828125
19,0.0,0.0,0.0,0.0,70.54457711956178,401512.54144510045,91.77999877929688,301.467937707901,Idle,0.0,0.0,70.49522399902344,401714.0,Idle,2024-10-21,301.467937707901,3521.9079999344485,3515.41455078125,0.0,6.493633270263672,1133.6143798828125
20,2.58224045600952,0.0,2.58224045600952,4.556164453863715,69.26034717994642,417914.7334790098,97.7300033569336,301.467937707901,Turbine,2.5822403,4.5753937,69.24329376220703,401714.0,Turbine,2024-10-21,301.467937707901,3521.9079999344485,3515.41455078125,0.0,6.493633270263672,1133.6143798828125
21,2.5104574879334667,0.0,2.5104574879334667,4.472399490273544,67.9997277739764,434015.3716439946,92.97000122070312,301.467937707901,Turbine,2.5104575,4.4997406,67.97190856933594,418185.4,Turbine,2024-10-21,301.467937707901,3521.9079999344485,3515.41455078125,0.0,6.493633270263672,1133.6143798828125
22,2.439994247836659,0.0,2.439994247836659,4.390174543334838,66.76228482261237,449820.0,82.44000244140625,301.467937707901,Turbine,2.4399943,4.420418,66.67481231689453,434384.47,Turbine,2024-10-21,301.467937707901,3521.9079999344485,3515.41455078125,0.0,6.493633270263672,1133.6143798828125
23,0.0,0.0,0.0,0.0,66.76228482261234,449820.0,78.72000122070312,301.467937707901,Idle,0.0,0.0,,450297.97,Idle,2024-10-21,301.467937707901,3521.9079999344485,3515.41455078125,0.0,6.493633270263672,1133.6143798828125
