Time,Power,Head,Flow,Price,Date
0,-6.722497138962345,76.0979742974275,-9.917802832773873,1.09,2023-09-25
1,-7.112858512661004,79.12170717620874,-10.079111236417507,0.0,2023-09-25
2,-7.5095689307092215,82.1946196496991,-10.243043245462959,0.49,2023-09-25
3,-7.895441481924182,85.31081618377983,-10.387323470913849,43.31,2023-09-25
4,0.0,85.31081618377983,0.0,86.87,2023-09-25
5,3.417096479350496,83.92170393941296,4.630374901531193,139.15,2023-09-25
6,3.3379305425154753,82.53142823835185,4.634253091143231,143.0,2023-09-25
7,3.258698299923278,81.13998810613853,4.638134528948989,118.32,2023-09-25
8,0.0,81.13998810613853,0.0,99.68,2023-09-25
9,0.0,81.13998810613853,0.0,89.01,2023-09-25
10,0.0,81.13998810613853,0.0,89.71,2023-09-25
11,0.0,81.13998810613853,0.0,76.11,2023-09-25
12,0.0,81.13998810613853,0.0,84.09,2023-09-25
13,0.0,81.13998810613853,0.0,92.06,2023-09-25
14,0.0,81.13998810613853,0.0,97.46,2023-09-25
15,0.0,81.13998810613853,0.0,109.19,2023-09-25
16,6.557991458776987,78.04916806940331,10.302735132661288,183.01,2023-09-25
17,6.193980704926874,75.05018719788825,9.99660453210145,300.0,2023-09-25
18,5.840785994511004,72.1403166260599,9.699570151466986,203.5,2023-09-25
19,4.260439734164507,69.93899874682309,7.337727458414092,131.5,2023-09-25
20,3.19579439512907,68.20791214562136,5.770289609846998,120.57,2023-09-25
21,0.0,68.20791214562136,0.0,110.09,2023-09-25
22,2.709925793738181,66.67000453002412,5.126359553025793,114.12,2023-09-25
23,0.0,66.67000453002412,0.0,107.99,2023-09-25
0,-5.030054374975872,75.4425957374309,-7.733207277219606,160.14,2023-01-23
1,-5.257394704999162,77.77045930809005,-7.759546498477317,160.89,2023-01-23
2,-5.485509353754464,80.10625155716781,-7.785975430840917,152.47,2023-01-23
3,-5.714400958563107,82.44999948965804,-7.8124943798654005,151.13,2023-01-23
4,-5.944072165729088,84.80173020253335,-7.839103652146587,155.41,2023-01-23
5,0.0,84.80173020253335,0.0,189.9,2023-01-23
6,3.388083511681116,83.41219157110147,4.631796191979181,226.54,2023-01-23
7,4.01509784830129,81.6665226400017,5.818897384085252,257.9,2023-01-23
8,6.481155473147771,78.62984731937304,10.122252716263988,270.13,2023-01-23
9,4.638463510037122,76.42985146489698,7.333320708494324,249.8,2023-01-23
10,2.91096755073424,75.03330093187097,4.655169201097225,230.14,2023-01-23
11,2.831377703525857,73.63558071218132,4.659068157277232,220.88,2023-01-23
12,2.942951222401953,72.14057001442568,4.983369803614042,219.1,2023-01-23
13,3.7527158078112235,70.19446183014935,6.487028336752329,219.62,2023-01-23
14,4.389933424135609,67.87068534940296,7.7459228632173565,218.99,2023-01-23
15,4.995244730679962,65.17414310100494,8.988475624294576,224.58,2023-01-23
16,4.677668694235971,62.557724634040454,8.7213963093795,248.9,2023-01-23
17,4.369528961987726,60.01904918835082,8.462252862951686,248.07,2023-01-23
18,4.070545148053877,57.55580674455907,8.210809482367068,223.19,2023-01-23
19,0.0,57.55580674455907,0.0,206.15,2023-01-23
20,-3.5046121794691127,59.82274810325811,-7.556472425557871,184.01,2023-01-23
21,-3.726756869693417,62.09741063997356,-7.582209689801567,177.92,2023-01-23
22,-3.9496581823561616,64.37982065295513,-7.608034614891931,170.22,2023-01-23
23,-4.173318694505279,66.67000453002412,-7.633947499400875,164.85,2023-01-23
0,0.0,73.12263393186294,0.0,-0.09,2023-12-24
1,0.0,73.12263393186308,0.0,-0.29,2023-12-24
2,0.0,73.12263393186339,0.0,-0.97,2023-12-24
3,0.0,73.12263393186288,0.0,-3.74,2023-12-24
4,0.0,73.12263393186191,0.0,-4.97,2023-12-24
5,0.0,73.12263393186149,0.0,-4.22,2023-12-24
6,0.0,73.12263393186097,0.0,-3.05,2023-12-24
7,0.0,73.12263393186086,0.0,-1.62,2023-12-24
8,0.0,73.12263393186075,0.0,-0.67,2023-12-24
9,0.0,73.12263393186068,0.0,-0.89,2023-12-24
10,0.0,73.12263393186059,0.0,-0.91,2023-12-24
11,0.0,73.12263393186052,0.0,-0.55,2023-12-24
12,0.0,73.12263393186045,0.0,-1.03,2023-12-24
13,0.0,73.12263393186038,0.0,-0.15,2023-12-24
14,0.0,73.12263393186025,0.0,0.22,2023-12-24
15,0.0,73.12263393186016,0.0,0.39,2023-12-24
16,0.0,73.12263393186043,0.0,9.83,2023-12-24
17,0.0,73.12263393186043,0.0,10.09,2023-12-24
18,0.0,73.12263393186043,0.0,9.49,2023-12-24
19,0.0,73.12263393186043,0.0,2.54,2023-12-24
20,0.0,73.12263393186043,0.0,-1.91,2023-12-24
21,0.0,73.12263393186043,0.0,-2.57,2023-12-24
22,0.0,73.12263393186043,0.0,-4.79,2023-12-24
23,0.0,73.12263393186043,0.0,-3.91,2023-12-24
0,0.0,73.12263393186292,0.0,94.54,2023-10-24
1,0.0,73.12263393186318,0.0,89.46,2023-10-24
2,0.0,73.12263393186318,0.0,90.31,2023-10-24
3,0.0,73.12263393186318,0.0,94.69,2023-10-24
4,0.0,73.12263393186318,0.0,102.0,2023-10-24
5,0.0,73.12263393186322,0.0,120.59,2023-10-24
6,2.7224881997087538,71.72331342514087,4.664402448254437,130.77,2023-10-24
7,3.8518503369188766,69.71507424846938,6.694131678444489,136.35,2023-10-24
8,0.0,69.71507424846938,0.0,128.37,2023-10-24
9,0.0,69.71507424846938,0.0,125.0,2023-10-24
10,0.0,69.71507424846963,0.0,118.99,2023-10-24
11,0.0,69.71507424846966,0.0,112.54,2023-10-24
12,0.0,69.71507424846966,0.0,110.0,2023-10-24
13,0.0,69.71507424846993,0.0,109.59,2023-10-24
14,0.0,69.71507424846993,0.0,118.1,2023-10-24
15,3.835603623368847,67.65579210140257,6.864274940789942,133.16,2023-10-24
16,4.969936413705108,64.96563508937328,8.967191499601215,149.98,2023-10-24
17,4.653112376625838,62.35541213088304,8.70074461110406,154.12,2023-10-24
18,4.345702299188742,59.82274810325811,8.44221479947462,133.45,2023-10-24
19,0.0,59.82274810325811,0.0,119.31,2023-10-24
20,0.0,59.82274810325811,0.0,114.1,2023-10-24
21,-3.726756869693417,62.09741063997355,-7.582209689801568,102.78,2023-10-24
22,-3.9496581823561616,64.37982065295513,-7.608034614891932,99.07,2023-10-24
23,-4.173318694505278,66.67000453002412,-7.633947499400882,94.56,2023-10-24
0,0.0,73.12263393186292,0.0,127.56,2023-02-22
1,0.0,73.12263393186291,0.0,125.3,2023-02-22
2,0.0,73.12263393186291,0.0,124.48,2023-02-22
3,0.0,73.1226339318629,0.0,125.42,2023-02-22
4,0.0,73.1226339318629,0.0,129.24,2023-02-22
5,0.0,73.1226339318629,0.0,153.37,2023-02-22
6,3.6530753113291663,71.25556335775327,6.223569593316028,173.13,2023-02-22
7,4.62322319314852,68.84581078143107,8.032509895115124,176.34,2023-02-22
8,3.6039991250809584,66.87731363596588,6.561658219528679,164.55,2023-02-22
9,0.0,66.87731363596588,0.0,150.91,2023-02-22
10,0.0,66.87731363596582,0.0,144.93,2023-02-22
11,-4.418055861137007,69.17600394741721,-7.66230228529065,120.1,2023-02-22
12,0.0,69.17600394741721,0.0,131.1,2023-02-22
13,0.0,69.17600394741721,0.0,136.12,2023-02-22
14,0.0,69.17600394741721,0.0,151.01,2023-02-22
15,0.0,69.17600394741721,0.0,157.02,2023-02-22
16,3.2767171546329696,67.3817468619576,5.980857924978805,165.01,2023-02-22
17,4.937661673340486,64.69973270060355,8.940048659599286,175.0,2023-02-22
18,4.6217966326367925,62.09741063997356,8.674408280616717,172.73,2023-02-22
19,0.0,62.09741063997356,0.0,162.06,2023-02-22
20,0.0,62.09741063997356,0.0,154.02,2023-02-22
21,0.0,62.09741063997356,0.0,151.93,2023-02-22
22,-3.9496581823561625,64.37982065295513,-7.608034614891933,134.62,2023-02-22
23,-4.17331869450528,66.67000453002412,-7.633947499400885,134.77,2023-02-22
0,0.0,73.12263393186322,0.0,29.15,2023-07-15
1,0.0,73.12263393186322,0.0,19.95,2023-07-15
2,0.0,73.12263393186322,0.0,10.0,2023-07-15
3,0.0,73.12263393186322,0.0,13.69,2023-07-15
4,0.0,73.12263393186322,0.0,19.74,2023-07-15
5,0.0,73.12263393186322,0.0,22.6,2023-07-15
6,0.0,73.12263393186322,0.0,29.95,2023-07-15
7,0.0,73.12263393186322,0.0,17.41,2023-07-15
8,0.0,73.12263393186322,0.0,4.6,2023-07-15
9,-5.030054374975879,75.44259573743113,-7.733207277219561,0.0,2023-07-15
10,-5.257394704999175,77.77045930809028,-7.759546498477317,-0.02,2023-07-15
11,-5.485509353754486,80.10625155716802,-7.785975430840917,-0.18,2023-07-15
12,-5.714400958563127,82.44999948965825,-7.8124943798654005,-1.01,2023-07-15
13,-5.944072165729109,84.80173020253356,-7.839103652146587,-0.1,2023-07-15
14,0.0,84.80173020253356,0.0,-0.01,2023-07-15
15,0.0,84.80173020253356,0.0,1.06,2023-07-15
16,3.38808351168113,83.4121915711017,4.631796191979148,42.0,2023-07-15
17,5.408341161842888,80.96622317780414,8.153229304681332,69.08,2023-07-15
18,6.537526888920462,77.88056630999273,10.285524566780708,88.65,2023-07-15
19,6.17412420962334,74.88659519144124,9.979905352838237,84.03,2023-07-15
20,5.821519505720692,71.98158551514554,9.68336716372096,83.03,2023-07-15
21,5.479391931276972,69.16289392287175,9.395640170150685,71.82,2023-07-15
22,4.665874679817645,66.67000453002386,8.30963266197204,57.1,2023-07-15
23,0.0,66.67000453002412,0.0,19.68,2023-07-15
0,0.0,73.12263393186292,0.0,143.73,2023-02-06
1,0.0,73.12263393186304,0.0,145.39,2023-02-06
2,0.0,73.12263393186304,0.0,142.09,2023-02-06
3,0.0,73.12263393186304,0.0,140.1,2023-02-06
4,0.0,73.12263393186304,0.0,148.93,2023-02-06
5,2.722488199708744,71.7233134251407,4.664402448254404,175.66,2023-02-06
6,5.448974819616078,68.9122960076373,9.370059583419255,200.65,2023-02-06
7,5.117916861834738,66.18480383261794,9.091642063157051,213.39,2023-02-06
8,4.796695803685461,63.53835507051853,8.821497309455072,200.59,2023-02-06
9,4.4850193561835,60.97054163568515,8.559379509239225,185.08,2023-02-06
10,0.0,60.97054163568515,0.0,172.43,2023-02-06
11,-3.8392327560784043,63.249113544893156,-7.595240933564394,153.62,2023-02-06
12,-4.062517160406931,65.53544624564817,-7.621110242931625,149.11,2023-02-06
13,-4.286562069027943,67.82956617112319,-7.647067662889754,152.84,2023-02-06
14,0.0,67.82956617112319,0.0,162.88,2023-02-06
15,0.0,67.82956617112319,0.0,181.8,2023-02-06
16,4.911026358278761,65.17414310100494,8.851411674386698,198.94,2023-02-06
17,4.677668694235972,62.55772463404046,8.721396309379504,213.5,2023-02-06
18,4.3695289619877276,60.019049188350834,8.4622528629517,205.38,2023-02-06
19,4.0705451480538795,57.55580674455908,8.210809482367068,186.21,2023-02-06
20,-3.504612179469113,59.822748103258114,-7.5564724255578835,166.47,2023-02-06
21,-3.7267568696934177,62.09741063997356,-7.582209689801568,157.31,2023-02-06
22,-3.9496581823561625,64.37982065295513,-7.608034614891933,154.0,2023-02-06
23,-4.173318694505276,66.67000453002412,-7.633947499400879,145.63,2023-02-06
0,0.0,73.12263393186294,0.0,114.94,2023-03-20
1,0.0,73.12263393186294,0.0,113.06,2023-03-20
2,0.0,73.1226339318632,0.0,110.18,2023-03-20
3,0.0,73.1226339318632,0.0,110.25,2023-03-20
4,0.0,73.1226339318632,0.0,116.4,2023-03-20
5,0.0,73.1226339318632,0.0,135.77,2023-03-20
6,3.7608941751738385,71.2013693116517,6.404216443057748,148.43,2023-03-20
7,4.223036092131618,68.99116886614327,7.3673360174719456,148.51,2023-03-20
8,0.0,68.99116886614327,0.0,137.56,2023-03-20
9,0.0,68.99116886614327,0.0,122.75,2023-03-20
10,0.0,68.99116886614327,0.0,115.79,2023-03-20
11,0.0,68.99116886614354,0.0,104.6,2023-03-20
12,-4.62519916172787,71.29705894589527,-7.686301516864564,100.0,2023-03-20
13,-4.851160559225913,73.61080286259067,-7.712480977604348,101.79,2023-03-20
14,0.0,73.61080286259067,0.0,104.8,2023-03-20
15,0.0,73.61080286259067,0.0,113.9,2023-03-20
16,0.0,73.61080286259067,0.0,133.0,2023-03-20
17,3.372556806987007,71.89912479483074,5.705594487844564,150.98,2023-03-20
18,5.469680402100877,69.08288340141264,9.387472839302387,165.47,2023-03-20
19,4.502000882378684,66.67000453002412,8.042930880365667,152.36,2023-03-20
20,0.0,66.67000453002412,0.0,135.49,2023-03-20
21,0.0,66.67000453002412,0.0,127.5,2023-03-20
22,0.0,66.67000453002412,0.0,117.04,2023-03-20
