Time,Power,Head,Flow,Price,Date,Mode,Revenue,c,d,e,a,b
0,-6.722497138962345,76.0979742974275,-9.917802832773871,1.09,2023-09-25,Pump,-7.327521881468957,1.39837646484375,0.17681884765625,-14.5078125,-14754.0,1446656.0
1,-7.112858512661004,79.12170717620874,-10.079111236417509,0.0,2023-09-25,Pump,-0.0,1.2779541015625,0.17333984375,-15.01171875,-15530.0,1506688.0
2,-7.509568930709221,82.1946196496991,-10.24304324546296,0.49,2023-09-25,Pump,-3.679688776047518,1.20458984375,0.1629638671875,-14.6796875,-16152.0,1556864.0
3,-7.895441481924182,85.31081618377983,-10.387323470913849,43.31,2023-09-25,Pump,-341.95157058213636,1.1873321533203125,0.150390625,-13.73828125,-16380.0,1575808.0
4,0.0,85.31081618377983,0.0,86.87,2023-09-25,Idle,0.0,0.0,0.0,0.0,-16380.0,1575808.0
5,3.417096479350496,83.92170393941296,4.630374901531193,139.15,2023-09-25,Turbine,475.4889751016216,1.644683837890625,-0.114166259765625,8.916015625,-16357.0,1573824.0
6,3.3379305425154757,82.53142823835185,4.634253091143231,143.0,2023-09-25,Turbine,477.324067579713,1.6833038330078125,-0.1102294921875,8.43359375,-16170.0,1558272.0
7,3.258698299923278,81.13998810613853,4.638134528948989,118.32,2023-09-25,Turbine,385.5691828469222,1.71942138671875,-0.102142333984375,7.6328125,-15970.0,1541760.0
8,0.0,81.13998810613853,0.0,99.68,2023-09-25,Idle,0.0,0.0,0.0,0.0,-15970.0,1541760.0
9,0.0,81.13998810613853,0.0,89.01,2023-09-25,Idle,0.0,0.0,0.0,0.0,-15970.0,1541760.0
10,0.0,81.13998810613853,0.0,89.71,2023-09-25,Idle,0.0,0.0,0.0,0.0,-15970.0,1541760.0
11,0.0,81.13998810613853,0.0,76.11,2023-09-25,Idle,0.0,0.0,0.0,0.0,-15970.0,1541760.0
12,0.0,81.13998810613853,0.0,84.09,2023-09-25,Idle,0.0,0.0,0.0,0.0,-15970.0,1541760.0
13,0.0,81.13998810613853,0.0,92.06,2023-09-25,Idle,0.0,0.0,0.0,0.0,-15970.0,1541760.0
14,0.0,81.13998810613853,0.0,97.46,2023-09-25,Idle,0.0,0.0,0.0,0.0,-15970.0,1541760.0
15,0.0,81.13998810613853,0.0,109.19,2023-09-25,Idle,0.0,0.0,0.0,0.0,-15970.0,1541760.0
16,6.557991458776987,78.04916806940331,10.302735132661288,183.01,2023-09-25,Turbine,1200.1780168707764,2.197113037109375,-0.18719482421875,12.27734375,-15284.0,1487360.0
17,6.193980704926874,75.05018719788825,9.99660453210145,300.0,2023-09-25,Turbine,1858.1942114780622,2.343597412109375,-0.150146484375,8.57421875,-14454.0,1423744.0
18,5.840785994511004,72.1403166260599,9.699570151466986,203.5,2023-09-25,Turbine,1188.5999498829892,2.4217376708984375,-0.11090087890625,5.24609375,-13550.0,1357312.0
19,4.260439734164507,69.93899874682309,7.337727458414092,131.5,2023-09-25,Turbine,560.2478250426326,2.2339935302734375,-0.0694580078125,3.21484375,-12864.0,1308800.0
20,3.19579439512907,68.20791214562136,5.770289609846998,120.57,2023-09-25,Turbine,385.316930220712,1.9500579833984375,-0.0523681640625,3.091796875,-12332.0,1271808.0
21,0.0,68.20791214562136,0.0,110.09,2023-09-25,Idle,0.0,0.0,0.0,0.0,-12332.0,1271808.0
22,2.709925793738181,66.67000453002412,5.126359553025793,114.12,2023-09-25,Turbine,309.25673158140125,1.8742408752441406,-0.041259765625,2.56640625,-11844.0,1238912.0
23,0.0,66.67000453002412,0.0,107.99,2023-09-25,Idle,0.0,0.0,0.0,0.0,-11844.0,1238912.0
0,-5.030054374975872,75.4425957374309,-7.733207277219606,160.14,2023-01-23,Pump,-805.5129076086362,1.625823974609375,0.157867431640625,-11.74609375,-14552.0,1431168.0
1,-5.257394704999162,77.77045930809005,-7.759546498477317,160.89,2023-01-23,Pump,-845.8622340873151,1.50311279296875,0.15777587890625,-12.4140625,-15214.0,1481856.0
2,-5.485509353754464,80.10625155716781,-7.785975430840917,152.47,2023-01-23,Pump,-836.3756111669431,1.3941497802734375,0.15228271484375,-12.6171875,-15782.0,1526656.0
3,-5.714400958563107,82.44999948965804,-7.8124943798654,151.13,2023-01-23,Pump,-863.6174168676423,1.3084869384765625,0.15081787109375,-13.0,-16185.0,1559552.0
4,-5.944072165729088,84.80173020253335,-7.839103652146587,155.41,2023-01-23,Pump,-923.7682552759575,1.2386474609375,0.1468505859375,-13.09765625,-16384.0,1576128.0
5,0.0,84.80173020253335,0.0,189.9,2023-01-23,Idle,0.0,0.0,0.0,0.0,-16384.0,1576128.0
6,3.388083511681116,83.41219157110147,4.631796191979181,226.54,2023-01-23,Turbine,767.53643873624,1.6604156494140625,-0.110931396484375,8.58203125,-16290.0,1568192.0
7,4.01509784830129,81.6665226400017,5.818897384085252,257.9,2023-01-23,Turbine,1035.4937350769026,1.8014678955078125,-0.121185302734375,8.87890625,-16067.0,1549824.0
8,6.481155473147771,78.62984731937304,10.122252716263988,270.13,2023-01-23,Turbine,1750.7545279614073,2.1781463623046875,-0.1982421875,13.25390625,-15423.0,1498240.0
9,4.638463510037122,76.42985146489698,7.333320708494324,249.8,2023-01-23,Turbine,1158.688184807273,2.1548995971679688,-0.11993408203125,7.25,-14830.0,1452288.0
10,2.91096755073424,75.03330093187097,4.655169201097225,230.14,2023-01-23,Turbine,669.930072125978,1.8191375732421875,-0.07427978515625,5.099609375,-14436.0,1422336.0
11,2.831377703525857,73.63558071218132,4.659068157277232,220.88,2023-01-23,Turbine,625.3947071547913,1.8313217163085938,-0.068511962890625,4.625,-14008.0,1390720.0
12,2.942951222401953,72.14057001442568,4.983369803614042,219.1,2023-01-23,Turbine,644.800612828268,1.8683547973632812,-0.065185546875,4.263671875,-13552.0,1357312.0
13,3.752715807811224,70.19446183014935,6.487028336752329,219.62,2023-01-23,Turbine,824.1714457115011,2.0502548217773438,-0.063140869140625,3.509765625,-12960.0,1315328.0
14,4.389933424135609,67.87068534940296,7.7459228632173565,218.99,2023-01-23,Turbine,961.3515205514572,2.2944107055664062,-0.0565185546875,2.0625,-12220.0,1264384.0
15,4.995244730679962,65.17414310100494,8.988475624294576,224.58,2023-01-23,Turbine,1121.832061616106,2.3897323608398438,-0.04669189453125,0.96875,-11358.0,1206912.0
16,4.677668694235971,62.55772463404045,8.7213963093795,248.9,2023-01-23,Turbine,1164.271737995333,2.3023834228515625,-0.036895751953125,0.724609375,-10462.0,1149696.0
17,4.369528961987726,60.01904918835082,8.462252862951686,248.07,2023-01-23,Turbine,1083.9490496002952,2.2005348205566406,-0.033843994140625,0.95703125,-9510.0,1091328.0
18,4.070545148053877,57.55580674455907,8.210809482367068,223.19,2023-01-23,Turbine,908.5049715941448,2.100303888320923,-0.0396728515625,1.681640625,-8412.0,1026816.0
19,0.0,57.55580674455907,0.0,206.15,2023-01-23,Idle,0.0,0.0,0.0,0.0,-8412.0,1026816.0
20,-3.5046121794691127,59.82274810325811,-7.556472425557871,184.01,2023-01-23,Pump,-644.8836871441114,2.6321277618408203,0.1419677734375,-6.0234375,-9428.0,1086464.0
21,-3.726756869693417,62.09741063997356,-7.582209689801567,177.92,2023-01-23,Pump,-663.0645822558527,2.5043258666992188,0.14697265625,-6.84375,-10310.0,1140224.0
22,-3.9496581823561616,64.37982065295513,-7.608034614891931,170.22,2023-01-23,Pump,-672.3108158006659,2.3648681640625,0.15203857421875,-7.7578125,-11102.0,1190144.0
23,-4.173318694505279,66.67000453002412,-7.633947499400875,164.85,2023-01-23,Pump,-687.9715867891953,2.207183837890625,0.15399169921875,-8.58984375,-11844.0,1238912.0
0,0.0,73.12263393186294,0.0,-0.09,2023-12-24,Idle,-0.0,0.0,0.0,0.0,-13860.0,1379584.0
1,0.0,73.12263393186308,0.0,-0.29,2023-12-24,Idle,-0.0,0.0,0.0,0.0,-13860.0,1379584.0
2,0.0,73.12263393186339,0.0,-0.97,2023-12-24,Idle,-0.0,0.0,0.0,0.0,-13860.0,1379584.0
3,0.0,73.12263393186288,0.0,-3.74,2023-12-24,Idle,-0.0,0.0,0.0,0.0,-13860.0,1379584.0
4,0.0,73.12263393186191,0.0,-4.97,2023-12-24,Idle,-0.0,0.0,0.0,0.0,-13860.0,1379584.0
5,0.0,73.12263393186149,0.0,-4.22,2023-12-24,Idle,-0.0,0.0,0.0,0.0,-13860.0,1379584.0
6,0.0,73.12263393186097,0.0,-3.05,2023-12-24,Idle,-0.0,0.0,0.0,0.0,-13860.0,1379584.0
7,0.0,73.12263393186086,0.0,-1.62,2023-12-24,Idle,-0.0,0.0,0.0,0.0,-13860.0,1379584.0
8,0.0,73.12263393186075,0.0,-0.67,2023-12-24,Idle,-0.0,0.0,0.0,0.0,-13860.0,1379584.0
9,0.0,73.12263393186068,0.0,-0.89,2023-12-24,Idle,-0.0,0.0,0.0,0.0,-13860.0,1379584.0
10,0.0,73.12263393186059,0.0,-0.91,2023-12-24,Idle,-0.0,0.0,0.0,0.0,-13860.0,1379584.0
11,0.0,73.12263393186052,0.0,-0.55,2023-12-24,Idle,-0.0,0.0,0.0,0.0,-13860.0,1379584.0
12,0.0,73.12263393186045,0.0,-1.03,2023-12-24,Idle,-0.0,0.0,0.0,0.0,-13860.0,1379584.0
13,0.0,73.12263393186038,0.0,-0.15,2023-12-24,Idle,-0.0,0.0,0.0,0.0,-13860.0,1379584.0
14,0.0,73.12263393186025,0.0,0.22,2023-12-24,Idle,0.0,0.0,0.0,0.0,-13860.0,1379584.0
15,0.0,73.12263393186016,0.0,0.39,2023-12-24,Idle,0.0,0.0,0.0,0.0,-13860.0,1379584.0
16,0.0,73.12263393186043,0.0,9.83,2023-12-24,Idle,0.0,0.0,0.0,0.0,-13860.0,1379584.0
17,0.0,73.12263393186043,0.0,10.09,2023-12-24,Idle,0.0,0.0,0.0,0.0,-13860.0,1379584.0
18,0.0,73.12263393186043,0.0,9.49,2023-12-24,Idle,0.0,0.0,0.0,0.0,-13860.0,1379584.0
19,0.0,73.12263393186043,0.0,2.54,2023-12-24,Idle,0.0,0.0,0.0,0.0,-13860.0,1379584.0
20,0.0,73.12263393186043,0.0,-1.91,2023-12-24,Idle,-0.0,0.0,0.0,0.0,-13860.0,1379584.0
21,0.0,73.12263393186043,0.0,-2.57,2023-12-24,Idle,-0.0,0.0,0.0,0.0,-13860.0,1379584.0
22,0.0,73.12263393186043,0.0,-4.79,2023-12-24,Idle,-0.0,0.0,0.0,0.0,-13860.0,1379584.0
23,0.0,73.12263393186043,0.0,-3.91,2023-12-24,Idle,-0.0,0.0,0.0,0.0,-13860.0,1379584.0
0,0.0,73.12263393186292,0.0,94.54,2023-10-24,Idle,0.0,0.0,0.0,0.0,-13860.0,1379584.0
1,0.0,73.12263393186318,0.0,89.46,2023-10-24,Idle,0.0,0.0,0.0,0.0,-13860.0,1379584.0
2,0.0,73.12263393186318,0.0,90.31,2023-10-24,Idle,0.0,0.0,0.0,0.0,-13860.0,1379584.0
3,0.0,73.12263393186318,0.0,94.69,2023-10-24,Idle,0.0,0.0,0.0,0.0,-13860.0,1379584.0
