Time,Power,Head,Flow,Price,Date
0,-5.735174110497272,79.39999969614348,-10.215610435789168,1.09,2023-09-25
1,-7.069169738711714,81.71225141709725,-10.388550803050753,0.0,2023-09-25
2,-7.069169998168945,84.02450099299723,-10.388542175292969,0.49,2023-09-25
3,-7.069169998168945,86.33675056889722,-10.388542175292969,43.31,2023-09-25
4,0.0,86.33675056889722,0.0,86.87,2023-09-25
5,3.4865242097924884,85.10935777243019,5.514466070032938,139.15,2023-09-25
6,3.8298318862915037,83.75160672064699,6.1001434326171875,143.0,2023-09-25
7,3.125456809997556,82.66131579164806,4.898490810550193,118.32,2023-09-25
8,0.0,82.66131579164806,0.0,99.68,2023-09-25
9,0.0,82.66131579164806,0.0,89.01,2023-09-25
10,0.0,82.66131579164806,0.0,89.71,2023-09-25
11,-5.35747671127336,84.43324851666219,-7.960990905761719,76.11,2023-09-25
12,0.0,84.4332485166622,0.0,84.09,2023-09-25
13,0.0,84.43324851666219,0.0,92.06,2023-09-25
14,0.0,84.4332485166622,0.0,97.46,2023-09-25
15,0.0,84.43324851666219,0.0,109.19,2023-09-25
16,6.647332191467285,81.9166242583311,11.306762695312493,183.01,2023-09-25
17,6.647332191467285,79.4,11.3067626953125,300.0,2023-09-25
18,5.455295562744141,76.69044087991219,10.726890563964844,203.5,2023-09-25
19,4.891176968286704,74.3334872639336,9.330958426226928,131.5,2023-09-25
20,4.299501853325285,72.33050116180301,7.929634219607294,120.57,2023-09-25
21,3.7216049176767783,70.6430584417864,6.680427548667296,110.09,2023-09-25
22,3.8841642379757104,68.52557929254633,7.463588714600647,114.12,2023-09-25
23,3.560396676677047,66.3420137335269,6.776194651628586,107.99,2023-09-25
0,0.0,76.81958760351405,0.0,160.14,2023-01-23
1,0.0,76.81958760351401,0.0,160.89,2023-01-23
2,-4.6788602342216,78.95827180652948,-8.466850280750506,152.47,2023-01-23
3,-5.357476711273193,80.78269902111661,-7.960990905773713,151.13,2023-01-23
4,0.0,80.78269902111661,0.0,155.41,2023-01-23
5,0.0,80.78269902111592,0.0,189.9,2023-01-23
6,3.8298318862915037,79.42494796933282,6.100143432616775,226.54,2023-01-23
7,3.9287921730155997,77.6277414695225,7.128292354240386,257.9,2023-01-23
8,4.299501800536746,75.62475539905877,7.929634094241095,270.13,2023-01-23
9,3.7216049194339575,73.93731267838484,6.680427551269531,249.8,2023-01-23
10,3.3955248829837577,72.40940653602503,6.048837192588081,230.14,2023-01-23
11,3.1437080383293505,71.00470326801243,5.56108856201169,220.88,2023-01-23
12,3.1437080383293505,69.6,5.561088562011108,219.1,2023-01-23
13,3.4240291595458983,67.50973059450325,6.486671447753906,219.62,2023-01-23
14,3.4240291595458983,65.41946118900653,6.486671447753906,218.99,2023-01-23
15,3.785168950463342,63.08211715690216,7.253410855442496,224.58,2023-01-23
16,4.34429931640625,60.340145777120526,8.509078979492188,248.9,2023-01-23
17,3.319490194320683,57.005367021181684,6.907951354980469,248.07,2023-01-23
18,3.3194901943206565,53.31534898958743,6.907951354980469,223.19,2023-01-23
19,2.9683046102523805,50.0,6.206546783447266,206.15,2023-01-23
20,-3.232150850455641,54.63308883275617,-8.673440618975889,184.01,2023-01-23
21,-3.5281155109405518,59.8,-9.672813415527315,177.92,2023-01-23
22,-4.45762147360006,63.01221224236994,-9.968340577163161,170.22,2023-01-23
23,-4.6204514503479,66.3420137335269,-10.333274841308551,164.85,2023-01-23
0,0.0,76.81958760351405,0.0,-0.09,2023-12-24
1,0.0,76.81958760351404,0.0,-0.29,2023-12-24
2,0.0,76.81958760353007,-6.339462288451614e-11,-0.97,2023-12-24
3,-1.1897979677512109e-09,76.81958760396984,-1.7410712871424039e-09,-3.74,2023-12-24
4,0.0,76.8195876039699,-2.2737367544323206e-13,-4.97,2023-12-24
5,0.0,76.8195876039699,0.0,-4.22,2023-12-24
6,0.0,76.8195876039699,0.0,-3.05,2023-12-24
7,0.0,76.8195876039699,0.0,-1.62,2023-12-24
8,0.0,76.8195876039699,0.0,-0.67,2023-12-24
9,0.0,76.8195876039699,0.0,-0.89,2023-12-24
10,0.0,76.8195876039699,0.0,-0.91,2023-12-24
11,0.0,76.8195876039699,0.0,-0.55,2023-12-24
12,0.0,76.81958760396991,0.0,-1.03,2023-12-24
13,0.0,76.8195876039699,0.0,-0.15,2023-12-24
14,0.0,76.8195876039699,0.0,0.22,2023-12-24
15,8.688104913863533e-10,76.81958760351264,1.8102497278960072e-09,0.39,2023-12-24
16,2.5658111572265625,75.67474084405991,4.532341003417969,9.83,2023-12-24
17,2.5658111572265625,74.52989408460719,4.532341003417969,10.09,2023-12-24
18,0.0,74.5298940846072,0.0,9.49,2023-12-24
19,0.0,74.5298940846072,0.0,2.54,2023-12-24
20,0.0,74.5298940846072,0.0,-1.91,2023-12-24
21,0.0,74.5298940846072,0.0,-2.57,2023-12-24
22,0.0,74.52989408460719,0.0,-4.79,2023-12-24
23,0.0,74.52989408460719,0.0,-3.91,2023-12-24
0,0.0,76.81958760351398,0.0,94.54,2023-10-24
1,0.0,76.81958760351404,0.0,89.46,2023-10-24
2,0.0,76.81958760351405,0.0,90.31,2023-10-24
3,0.0,76.81958760351405,0.0,94.69,2023-10-24
4,0.0,76.81958760351405,0.0,102.0,2023-10-24
5,2.946313411759395,75.50364459731699,5.209695005818787,120.59,2023-10-24
6,3.147984068037033,74.09684925658617,5.569370881792949,130.77,2023-10-24
7,3.7216049194339575,72.40940653591224,6.680427551269531,136.35,2023-10-24
8,3.1437086075111864,71.00470395965861,5.561085823402777,128.37,2023-10-24
9,3.1437080383300757,69.60000069164639,5.561088562010312,125.0,2023-10-24
10,2.9638954403777698,67.80039676447187,5.584658426319194,118.99,2023-10-24
