Time,Power,Head,Flow,Price,Date,Mode,Volume
0,0.0,73.12263393186322,0.0,38.32,2020-09-23,Idle,310528.499999997
1,0.0,73.12263393186312,0.0,37.15,2020-09-23,Idle,310528.49999999814
2,0.0,73.12263393186312,0.0,36.05,2020-09-23,Idle,310528.49999999814
3,0.0,73.12263393186312,0.0,39.4,2020-09-23,Idle,310528.49999999814
4,0.0,73.12263393186312,0.0,40.39,2020-09-23,Idle,310528.49999999814
5,2.7224881997087493,71.72331342514079,4.664402448254407,53.21,2020-09-23,Turbine,327320.348813714
6,2.757419379307532,70.26517874463197,4.860449726118111,58.32,2020-09-23,Turbine,344817.9678277392
7,2.5596409440038315,68.86346496452256,4.672380027509765,45.89,2020-09-23,Turbine,361638.53592677426
8,0.0,68.86346496452256,0.0,28.3,2020-09-23,Idle,361638.53592677426
9,0.0,68.86346496452256,0.0,26.6,2020-09-23,Idle,361638.53592677426
10,0.0,68.86346496452256,0.0,26.7,2020-09-23,Idle,361638.53592677426
11,0.0,68.86346496452256,0.0,25.7,2020-09-23,Idle,361638.53592677426
12,0.0,68.86346496452256,0.0,25.7,2020-09-23,Idle,361638.53592677426
13,-4.612685056077467,71.16892008615154,-7.684851656219356,17.19,2020-09-23,Pump,333973.0699643844
14,0.0,71.16892008615154,0.0,20.73,2020-09-23,Idle,333973.0699643844
15,0.0,71.16892008615154,0.0,44.0,2020-09-23,Idle,333973.0699643844
16,2.611145442828938,69.76796323833318,4.669856919462258,55.25,2020-09-23,Turbine,350784.5548744487
17,3.1127927159500257,68.07355391455562,5.6480319985344085,60.54,2020-09-23,Turbine,371117.47006917256
18,2.4347395664747853,66.67000453002319,4.678498709915707,51.22,2020-09-23,Turbine,387960.06542486907
19,0.0,66.67000453002319,0.0,44.05,2020-09-23,Idle,387960.06542486907
20,0.0,66.67000453002319,0.0,28.0,2020-09-23,Idle,387960.06542486907
21,0.0,66.67000453002319,0.0,24.83,2020-09-23,Idle,387960.06542486907
22,0.0,66.67000453002319,0.0,32.74,2020-09-23,Idle,387960.06542486907
23,0.0,66.67000453002319,0.0,31.08,2020-09-23,Idle,387960.06542486907
0,0.0,73.12263393186295,0.0,71.19,2021-07-06,Idle,310528.50000000023
1,0.0,73.12263393186302,0.0,54.23,2021-07-06,Idle,310528.4999999993
2,0.0,73.12263393186313,0.0,46.36,2021-07-06,Idle,310528.499999998
3,0.0,73.12263393186328,0.0,56.48,2021-07-06,Idle,310528.4999999963
4,0.0,73.122633931863,0.0,61.85,2021-07-06,Idle,310528.49999999953
5,3.712635621606368,71.2256259786538,6.323360873223379,93.35,2021-07-06,Turbine,333292.5991436037
6,4.446235342629126,68.90395188197536,7.738914915183614,97.06,2021-07-06,Turbine,361152.69283826463
7,3.39912169691447,67.04014845723303,6.212679093652497,87.29,2021-07-06,Turbine,383518.33757541364
8,0.0,67.04014845723303,0.0,76.8,2021-07-06,Idle,383518.33757541364
9,0.0,67.04014845723303,0.0,50.38,2021-07-06,Idle,383518.33757541364
10,-4.434012555733154,69.33939338234369,-7.664150997789043,24.87,2021-07-06,Pump,355927.39398337307
11,-4.659322773696457,71.64646951107235,-7.690255014097818,25.42,2021-07-06,Pump,328242.47593262093
12,-5.607566625975581,74.24105389753721,-8.64861602920163,10.76,2021-07-06,Pump,297107.4582274951
13,-5.139651853473476,76.56482502954357,-7.745905034081032,20.75,2021-07-06,Pump,269222.2001048033
14,-5.367365471336082,78.89651090116627,-7.772287503762863,43.23,2021-07-06,Pump,241241.965091257
15,0.0,78.89651090116627,0.0,70.0,2021-07-06,Idle,241241.965091257
16,3.051543235612897,77.50202632893297,4.648282664000613,91.46,2021-07-06,Turbine,257975.7826816592
17,3.711416772407606,75.73474929516564,5.890924404700248,99.94,2021-07-06,Turbine,279183.1105385801
18,4.446200032301027,73.54603610024724,7.295711837180909,103.47,2021-07-06,Turbine,305447.6731524314
19,4.774557743276157,71.12774711294827,8.060964603002287,103.97,2021-07-06,Turbine,334467.14572323964
20,4.7585537131382845,68.64620361337157,8.271813011579184,101.91,2021-07-06,Turbine,364245.6725649247
21,3.607613821453452,66.67000453002412,6.5873313499814765,91.28,2021-07-06,Turbine,387960.065424858
22,0.0,66.67000453002412,0.0,82.34,2021-07-06,Idle,387960.065424858
23,0.0,66.67000453002412,0.0,75.06,2021-07-06,Idle,387960.065424858
0,0.0,73.12263393186318,0.0,77.96,2023-10-06,Idle,310528.49999999744
1,0.0,73.12263393186306,0.0,75.06,2023-10-06,Idle,310528.49999999884
2,0.0,73.12263393186306,0.0,65.94,2023-10-06,Idle,310528.49999999884
3,0.0,73.12263393186339,0.0,71.78,2023-10-06,Idle,310528.4999999949
4,2.8226875696648457,71.67294923949537,4.83228309439766,94.24,2023-10-06,Turbine,327924.7191398266
5,5.443043349984747,68.86342831959186,9.365071257274368,117.45,2023-10-06,Turbine,361638.97566601424
6,5.11216163708761,66.13738817595026,9.086801957776764,120.72,2023-10-06,Turbine,394351.4627140105
7,4.791111586965377,63.492348300254754,8.816801020677662,104.39,2023-10-06,Turbine,426091.9463884502
8,0.0,63.492348300254754,0.0,85.01,2023-10-06,Idle,426091.9463884502
9,0.0,63.492348300254754,0.0,65.14,2023-10-06,Idle,426091.9463884502
10,-4.086352496585453,65.77950945598447,-7.623871759963383,36.53,2023-10-06,Pump,398646.00805258204
11,-4.525294224653485,68.15764548751544,-7.927121395324615,20.31,2023-10-06,Pump,370108.3710294134
12,-5.644643099571325,70.88709372610508,-9.09816227611924,13.76,2023-10-06,Pump,337354.98683538416
13,-4.810986782165664,73.1994413056476,-7.7078265196705855,42.81,2023-10-06,Pump,309606.81136457005
14,0.0,73.1994413056476,0.0,62.94,2023-10-06,Idle,309606.81136457005
15,2.726865475718044,71.80018512925821,4.664188013776341,86.86,2023-10-06,Turbine,326397.8882141649
16,4.19092711261752,69.62377890879985,7.254688582303804,104.93,2023-10-06,Turbine,352514.7671104586
17,5.201709326011075,66.87514606724714,9.16211096307108,113.4,2023-10-06,Turbine,385498.36657751456
18,4.536529578000878,64.37982065295513,8.317752734774047,103.26,2023-10-06,Turbine,415442.2764227012
19,0.0,64.37982065295513,0.0,89.39,2023-10-06,Idle,415442.2764227012
20,0.0,64.37982065295513,0.0,79.36,2023-10-06,Idle,415442.2764227012
21,0.0,64.37982065295513,0.0,79.68,2023-10-06,Idle,415442.2764227012
22,0.0,64.37982065295513,0.0,70.31,2023-10-06,Idle,415442.2764227012
23,-4.1733186945052765,66.67000453002412,-7.63394749940088,45.64,2023-10-06,Pump,387960.065424858
0,0.0,73.12263393186299,0.0,61.03,2021-06-21,Idle,310528.49999999965
1,0.0,73.12263393186299,0.0,58.9,2021-06-21,Idle,310528.49999999965
2,0.0,73.12263393186312,0.0,58.62,2021-06-21,Idle,310528.49999999814
3,0.0,73.12263393186312,0.0,62.5,2021-06-21,Idle,310528.49999999814
4,0.0,73.1226339318635,0.0,76.1,2021-06-21,Idle,310528.4999999936
5,0.0,73.1226339318636,0.0,88.94,2021-06-21,Idle,310528.4999999923
6,2.722488199708777,71.72331342514127,4.664402448254404,92.0,2021-06-21,Turbine,327320.3488137082
7,0.0,71.72331342514123,0.0,90.0,2021-06-21,Idle,327320.34881370876
8,0.0,71.72331342514123,0.0,86.28,2021-06-21,Idle,327320.34881370876
9,0.0,71.72331342514123,0.0,82.0,2021-06-21,Idle,327320.34881370876
10,0.0,71.72331342514123,0.0,78.48,2021-06-21,Idle,327320.34881370876
11,0.0,71.72331342514123,0.0,69.93,2021-06-21,Idle,327320.34881370876
12,0.0,71.72331342514123,0.0,67.34,2021-06-21,Idle,327320.34881370876
13,0.0,71.72331342514123,0.0,72.05,2021-06-21,Idle,327320.34881370876
14,0.0,71.72331342514123,0.0,75.13,2021-06-21,Idle,327320.34881370876
15,0.0,71.72331342514123,0.0,82.94,2021-06-21,Idle,327320.34881370876
16,0.0,71.72331342514123,0.0,88.97,2021-06-21,Idle,327320.34881370876
17,2.9444154711688166,70.17118707692389,5.173755336140231,93.79,2021-06-21,Turbine,345945.8680238136
18,3.250358331103778,68.41952011599192,5.838890820113409,94.07,2021-06-21,Turbine,366965.8749762218
19,3.143331313919578,66.67000453002345,5.831719569067843,91.27,2021-06-21,Turbine,387960.06542486604
20,0.0,66.67000453002345,0.0,86.09,2021-06-21,Idle,387960.06542486604
21,0.0,66.67000453002345,0.0,77.8,2021-06-21,Idle,387960.06542486604
22,0.0,66.67000453002345,0.0,74.03,2021-06-21,Idle,387960.06542486604
23,0.0,66.67000453002345,0.0,68.38,2021-06-21,Idle,387960.06542486604
0,0.0,73.12263393186323,0.0,50.86,2021-07-18,Idle,310528.49999999674
