Time,Power,Head,Flow,Price,Date
0,-18.35,86.21,-12.11,15.55,2020-02-03
1,-17.7,85.92,-13.74,14.38,2020-02-03
2,-20.21,85.24,-13.63,9.26,2020-02-03
3,-19.39,84.17,-13.7,8.95,2020-02-03
4,-19.13,85.13,-14.23,8.99,2020-02-03
5,-0.25,74.1,0.07,25.67,2020-02-03
6,22.63,79.98,19.21,36.49,2020-02-03
7,25.22,80.47,21.0,39.97,2020-02-03
8,25.23,80.92,19.44,39.26,2020-02-03
9,23.35,81.7,19.21,35.52,2020-02-03
10,22.39,80.87,18.15,32.97,2020-02-03
11,-0.58,79.08,0.02,29.08,2020-02-03
12,2.37,74.64,1.44,28.38,2020-02-03
13,0.36,80.14,0.26,28.73,2020-02-03
14,-4.32,79.92,-2.59,28.29,2020-02-03
15,0.3,75.25,-0.04,28.97,2020-02-03
16,22.92,80.74,18.61,35.52,2020-02-03
17,23.19,81.09,18.75,37.99,2020-02-03
18,24.04,80.79,18.63,36.57,2020-02-03
19,21.21,82.18,16.34,31.0,2020-02-03
20,-5.39,75.99,-2.1,27.16,2020-02-03
21,-1.64,79.14,-0.86,27.13,2020-02-03
22,-0.73,80.25,-0.15,24.76,2020-02-03
23,-0.61,74.3,-0.1,20.79,2020-02-03
0,-17.12,85.92,-12.86,19.65,2020-03-30
1,-18.76,84.96,-13.71,17.18,2020-03-30
2,-19.48,84.33,-13.66,16.99,2020-03-30
3,-17.99,86.26,-12.8,19.21,2020-03-30
4,0.47,75.74,0.11,24.94,2020-03-30
5,24.58,80.18,20.52,31.44,2020-03-30
6,24.43,80.03,20.11,30.94,2020-03-30
7,-0.33,75.54,-0.12,26.11,2020-03-30
8,0.42,75.06,-0.09,22.4,2020-03-30
9,0.36,74.98,0.17,21.09,2020-03-30
10,-2.55,75.19,-1.5,21.09,2020-03-30
11,-18.18,85.68,-12.64,19.12,2020-03-30
12,-19.47,84.05,-13.46,17.07,2020-03-30
13,-20.75,84.71,-14.83,15.8,2020-03-30
14,-21.18,84.91,-14.39,15.5,2020-03-30
15,-19.29,84.62,-13.71,17.3,2020-03-30
16,0.28,73.47,-0.32,22.03,2020-03-30
17,24.12,80.84,20.86,31.25,2020-03-30
18,25.26,80.2,20.8,31.69,2020-03-30
19,22.76,81.03,19.11,28.6,2020-03-30
20,21.02,81.7,17.73,27.01,2020-03-30
21,1.13,77.5,0.61,24.38,2020-03-30
22,-0.02,75.52,-0.14,23.39,2020-03-30
23,-16.88,86.73,-11.8,19.69,2020-03-30
0,0.46,75.29,-0.25,30.77,2020-09-13
1,3.76,75.66,1.62,30.03,2020-09-13
2,0.0,74.89,0.13,27.87,2020-09-13
3,-0.06,73.57,0.11,26.97,2020-09-13
4,-4.25,75.11,-2.36,29.14,2020-09-13
5,-0.07,79.05,-0.12,29.74,2020-09-13
6,1.51,76.2,1.5,30.13,2020-09-13
7,-0.31,77.08,-0.41,29.62,2020-09-13
8,0.62,78.88,-0.14,21.29,2020-09-13
9,-17.58,85.23,-12.39,11.97,2020-09-13
10,-18.78,84.88,-13.29,6.4,2020-09-13
11,-20.02,83.97,-14.19,0.0,2020-09-13
12,-19.53,84.56,-15.12,1.45,2020-09-13
13,-18.36,85.55,-12.5,9.91,2020-09-13
14,0.03,79.84,-0.1,24.15,2020-09-13
