Time,Power,Head,Flow,Price,Date
0,-18.02,85.63,-13.03,31.7,2018-12-03
1,-19.22,84.76,-13.45,29.0,2018-12-03
2,-19.94,84.23,-13.34,27.46,2018-12-03
3,-20.08,83.68,-13.74,21.65,2018-12-03
4,-17.58,85.19,-12.32,31.51,2018-12-03
5,0.2,79.7,0.03,58.47,2018-12-03
6,23.5,81.03,19.17,73.81,2018-12-03
7,23.35,80.52,18.04,69.3,2018-12-03
8,23.06,80.09,17.92,71.14,2018-12-03
9,21.28,80.54,17.46,64.6,2018-12-03
10,23.87,79.96,17.66,70.44,2018-12-03
11,21.66,80.45,17.56,64.6,2018-12-03
12,22.15,81.34,18.37,64.6,2018-12-03
13,-0.11,79.93,-0.15,58.9,2018-12-03
14,21.26,81.44,17.2,64.6,2018-12-03
15,22.58,80.77,17.75,64.6,2018-12-03
16,24.35,80.19,19.75,78.84,2018-12-03
17,24.49,79.19,19.11,75.18,2018-12-03
18,25.37,80.18,20.53,78.1,2018-12-03
19,23.61,80.57,18.34,69.82,2018-12-03
20,-0.24,74.16,0.14,58.9,2018-12-03
21,-0.75,75.58,0.35,54.6,2018-12-03
22,0.5,76.89,0.2,58.9,2018-12-03
23,0.47,75.9,0.06,44.2,2018-12-03
0,22.35,80.7,16.08,26.69,2019-06-02
1,-4.58,77.85,-2.34,18.91,2019-06-02
2,-0.41,75.55,-0.3,18.69,2019-06-02
3,4.08,79.26,2.07,16.37,2019-06-02
4,0.63,76.6,0.12,13.85,2019-06-02
5,2.37,75.8,0.49,16.3,2019-06-02
6,-0.2,78.96,-0.18,12.96,2019-06-02
7,3.08,74.38,2.21,11.28,2019-06-02
8,-0.49,79.08,-0.05,11.76,2019-06-02
9,0.49,74.74,0.22,11.9,2019-06-02
10,-0.09,78.06,0.43,8.91,2019-06-02
11,-17.35,85.62,-12.02,3.5,2019-06-02
12,-20.01,83.96,-12.66,-9.02,2019-06-02
13,-17.76,85.43,-12.41,-0.48,2019-06-02
14,-17.25,85.66,-12.94,3.5,2019-06-02
15,0.13,79.59,-0.34,16.3,2019-06-02
16,22.58,80.67,19.0,27.89,2019-06-02
17,24.05,80.6,20.55,37.41,2019-06-02
18,24.72,79.48,19.5,38.13,2019-06-02
19,24.56,81.4,19.86,37.14,2019-06-02
20,25.38,80.42,19.23,37.12,2019-06-02
21,23.42,80.73,19.0,29.85,2019-06-02
22,21.4,80.53,17.84,26.64,2019-06-02
23,0.09,75.12,0.0,23.34,2019-06-02
0,2.8,76.33,1.8,38.32,2020-09-23
1,-0.3,77.96,-0.05,37.15,2020-09-23
2,4.84,79.64,2.43,36.05,2020-09-23
3,0.11,79.01,0.45,39.4,2020-09-23
4,1.03,74.36,0.5,40.39,2020-09-23
5,23.29,80.8,17.32,53.21,2020-09-23
6,24.04,80.8,18.5,58.32,2020-09-23
7,0.01,74.73,0.22,45.89,2020-09-23
8,-16.64,85.67,-12.94,28.3,2020-09-23
9,-17.96,84.95,-11.97,26.6,2020-09-23
10,-18.05,85.66,-13.06,26.7,2020-09-23
11,-18.21,85.92,-13.55,25.7,2020-09-23
12,-18.52,86.41,-11.37,25.7,2020-09-23
13,-19.94,85.5,-13.86,17.19,2020-09-23
14,-19.5,85.32,-13.01,20.73,2020-09-23
15,1.55,77.77,1.07,44.0,2020-09-23
16,23.58,79.69,18.34,55.25,2020-09-23
17,24.64,80.51,20.79,60.54,2020-09-23
18,21.72,81.0,17.92,51.22,2020-09-23
19,0.4,78.67,-0.37,44.05,2020-09-23
20,-17.62,86.58,-12.84,28.0,2020-09-23
21,-17.17,86.37,-12.33,24.83,2020-09-23
22,-0.6,78.3,-0.01,32.74,2020-09-23
23,-1.09,75.26,-1.11,31.08,2020-09-23
0,-18.11,86.49,-12.96,55.4,2021-06-03
1,-19.91,84.38,-14.7,51.96,2021-06-03
2,-19.22,85.19,-12.32,54.15,2021-06-03
3,-19.43,84.41,-14.39,54.08,2021-06-03
4,-19.01,85.01,-14.14,54.1,2021-06-03
5,0.42,74.8,0.17,66.0,2021-06-03
6,22.47,81.45,17.48,76.07,2021-06-03
7,24.46,79.59,19.8,81.88,2021-06-03
8,25.17,80.24,20.12,83.35,2021-06-03
9,21.98,80.44,17.6,76.89,2021-06-03
10,2.1,76.4,1.13,64.66,2021-06-03
11,-17.58,85.33,-12.67,59.3,2021-06-03
12,-18.37,85.21,-13.35,57.27,2021-06-03
13,-17.81,85.04,-12.71,59.3,2021-06-03
14,-0.07,75.71,0.31,65.74,2021-06-03
15,0.13,76.07,-0.01,69.3,2021-06-03
16,21.46,82.09,17.91,75.0,2021-06-03
17,23.5,80.22,19.57,81.99,2021-06-03
18,24.18,79.68,19.07,82.03,2021-06-03
19,24.17,80.22,18.61,80.14,2021-06-03
20,22.68,80.86,18.3,79.32,2021-06-03
21,0.61,77.44,0.02,73.4,2021-06-03
22,0.87,78.05,-0.06,66.41,2021-06-03
23,0.3,78.71,0.03,62.92,2021-06-03
0,-19.49,84.78,-13.76,61.03,2021-06-21
1,-20.72,84.71,-14.79,58.9,2021-06-21
2,-20.7,84.08,-14.17,58.62,2021-06-21
3,-18.93,85.46,-12.75,62.5,2021-06-21
4,-0.31,79.91,-0.05,76.1,2021-06-21
5,24.38,80.28,18.22,88.94,2021-06-21
6,24.6,79.93,19.47,92.0,2021-06-21
7,23.03,80.76,17.6,90.0,2021-06-21
8,22.27,79.54,17.47,86.28,2021-06-21
9,0.02,76.06,-1.22,82.0,2021-06-21
10,0.43,74.32,-0.4,78.48,2021-06-21
11,-3.06,76.74,-2.54,69.93,2021-06-21
12,-17.47,86.47,-12.52,67.34,2021-06-21
13,-0.67,76.38,0.03,72.05,2021-06-21
14,0.11,74.06,-0.12,75.13,2021-06-21
15,-1.19,76.91,0.1,82.94,2021-06-21
16,22.85,81.08,17.66,88.97,2021-06-21
17,25.01,80.35,19.22,93.79,2021-06-21
18,25.18,79.88,19.41,94.07,2021-06-21
19,23.57,80.21,18.9,91.27,2021-06-21
20,22.2,82.29,17.33,86.09,2021-06-21
21,0.08,74.83,0.01,77.8,2021-06-21
22,2.25,79.75,1.66,74.03,2021-06-21
23,-16.98,85.72,-12.35,68.38,2021-06-21
0,-1.03,75.7,0.28,71.19,2021-07-06
1,0.46,77.9,0.13,54.23,2021-07-06
2,-0.23,75.0,0.11,46.36,2021-07-06
3,1.14,75.65,-0.04,56.48,2021-07-06
4,1.86,79.93,1.06,61.85,2021-07-06
5,23.93,80.57,19.24,93.35,2021-07-06
6,24.39,80.22,19.61,97.06,2021-07-06
7,22.59,81.01,17.91,87.29,2021-07-06
8,21.4,81.69,17.05,76.8,2021-07-06
9,-4.03,78.54,-2.2,50.38,2021-07-06
10,-19.19,85.87,-12.39,24.87,2021-07-06
11,-18.13,84.44,-12.58,25.42,2021-07-06
12,-19.93,83.96,-14.16,10.76,2021-07-06
13,-19.42,84.52,-13.34,20.75,2021-07-06
14,0.38,74.42,-0.07,43.23,2021-07-06
15,0.62,78.19,0.04,70.0,2021-07-06
16,23.56,80.9,19.64,91.46,2021-07-06
17,24.62,80.31,19.18,99.94,2021-07-06
18,24.14,79.58,20.65,103.47,2021-07-06
19,24.51,78.97,19.99,103.97,2021-07-06
20,25.12,80.39,20.59,101.91,2021-07-06
21,23.39,81.21,18.37,91.28,2021-07-06
22,22.64,80.79,18.11,82.34,2021-07-06
23,-2.31,78.93,-2.17,75.06,2021-07-06
0,-0.17,77.66,-0.21,50.86,2021-07-18
1,-2.24,76.27,-1.33,50.1,2021-07-18
2,-2.99,75.97,-0.96,45.43,2021-07-18
3,-0.58,79.95,0.08,46.37,2021-07-18
4,0.15,73.52,-0.33,50.75,2021-07-18
5,-0.1,77.14,-0.14,47.42,2021-07-18
6,-0.8,77.72,-0.18,54.82,2021-07-18
7,0.08,76.35,-0.52,46.57,2021-07-18
8,-0.28,74.47,0.19,35.33,2021-07-18
