Time,Power,Head,Flow,Price,Date
0,-17.62,85.24,-11.54,34.63,2015-03-08
1,-16.48,85.17,-11.7,35.0,2015-03-08
2,-17.98,86.41,-11.98,32.81,2015-03-08
3,-16.97,85.72,-12.9,32.81,2015-03-08
4,-17.71,85.8,-11.96,32.81,2015-03-08
5,-17.29,85.8,-12.3,32.81,2015-03-08
6,-17.63,85.89,-13.65,32.81,2015-03-08
7,-18.07,86.72,-12.17,33.43,2015-03-08
8,-17.77,85.11,-12.77,32.44,2015-03-08
9,-18.53,85.92,-13.49,24.02,2015-03-08
10,-18.98,83.89,-13.61,21.86,2015-03-08
11,-19.56,85.01,-13.08,24.22,2015-03-08
12,-20.18,83.72,-13.57,19.24,2015-03-08
13,-18.57,85.05,-12.44,24.94,2015-03-08
14,-19.71,83.48,-13.3,21.46,2015-03-08
15,-17.87,85.47,-13.27,27.0,2015-03-08
16,0.01,75.11,-0.17,37.7,2015-03-08
17,0.41,75.13,0.22,48.0,2015-03-08
18,24.22,80.38,19.31,72.7,2015-03-08
19,1.63,76.84,0.17,44.94,2015-03-08
20,-0.82,76.82,0.06,42.55,2015-03-08
21,0.24,75.76,-0.02,41.49,2015-03-08
22,0.34,75.31,0.32,41.2,2015-03-08
23,1.96,77.88,1.31,37.5,2015-03-08
0,-0.53,74.68,0.04,19.24,2016-04-16
1,0.16,78.71,-0.25,18.28,2016-04-16
2,-17.63,85.36,-11.73,17.19,2016-04-16
3,2.42,75.78,1.58,18.76,2016-04-16
4,-0.28,77.97,-0.13,19.46,2016-04-16
5,-3.36,78.37,-3.4,19.54,2016-04-16
6,0.52,78.25,0.0,21.14,2016-04-16
7,21.36,80.36,16.79,21.64,2016-04-16
8,-0.77,76.83,0.36,20.02,2016-04-16
9,0.3,75.79,-0.2,19.55,2016-04-16
10,2.45,77.35,1.29,18.65,2016-04-16
11,-18.01,84.92,-13.6,15.98,2016-04-16
12,-17.59,84.26,-12.45,16.31,2016-04-16
13,-19.49,84.22,-13.56,15.39,2016-04-16
14,-20.11,84.79,-14.71,14.84,2016-04-16
15,-18.84,84.32,-14.11,15.5,2016-04-16
16,0.03,76.6,0.04,18.47,2016-04-16
17,22.03,80.71,18.19,22.05,2016-04-16
18,24.61,79.93,18.75,23.7,2016-04-16
19,24.48,79.54,20.3,24.31,2016-04-16
20,24.9,79.97,19.7,23.94,2016-04-16
21,20.79,81.41,16.68,21.68,2016-04-16
22,0.13,74.6,0.03,19.33,2016-04-16
23,0.56,76.63,-0.38,17.74,2016-04-16
0,0.03,78.47,-0.03,21.26,2016-05-05
0,0.14,78.13,0.08,21.26,2016-05-05
1,0.55,79.14,-0.08,20.26,2016-05-05
1,-0.42,75.85,-0.13,20.26,2016-05-05
2,0.41,75.27,0.05,19.79,2016-05-05
2,-0.31,76.57,-0.4,19.79,2016-05-05
3,-2.37,74.23,-1.0,19.79,2016-05-05
3,-4.47,75.82,-2.02,19.79,2016-05-05
4,-2.46,75.43,-1.83,19.95,2016-05-05
4,0.7,79.19,-0.07,19.95,2016-05-05
5,-0.35,79.89,-0.35,20.07,2016-05-05
5,0.03,78.48,0.45,20.07,2016-05-05
6,-1.06,79.61,-0.03,20.0,2016-05-05
6,4.62,79.03,2.95,20.0,2016-05-05
7,-2.86,79.45,-1.64,19.57,2016-05-05
7,0.12,78.22,0.04,19.57,2016-05-05
8,-4.59,76.73,-2.77,19.01,2016-05-05
8,0.26,76.21,0.54,19.01,2016-05-05
9,0.02,76.54,0.12,17.76,2016-05-05
9,-0.77,77.5,0.22,17.76,2016-05-05
10,-0.14,75.12,-0.07,17.16,2016-05-05
10,-0.13,75.66,0.07,17.16,2016-05-05
11,-17.76,86.19,-12.77,15.28,2016-05-05
11,-17.3,85.44,-12.61,15.28,2016-05-05
12,-19.17,85.33,-13.15,13.48,2016-05-05
12,-18.66,84.65,-13.06,13.48,2016-05-05
13,-19.78,84.33,-14.09,11.88,2016-05-05
13,-19.63,84.31,-13.79,11.88,2016-05-05
14,-19.66,85.6,-13.09,13.06,2016-05-05
14,-19.0,83.99,-14.04,13.06,2016-05-05
15,0.29,78.27,0.07,17.77,2016-05-05
15,2.98,79.87,1.36,17.77,2016-05-05
16,0.14,79.99,0.04,20.67,2016-05-05
16,-0.05,75.15,-0.15,20.67,2016-05-05
17,24.12,79.52,18.6,24.2,2016-05-05
17,23.89,80.0,18.48,24.2,2016-05-05
18,23.17,80.67,18.93,24.08,2016-05-05
18,23.72,79.73,19.52,24.08,2016-05-05
19,24.5,80.43,18.97,24.87,2016-05-05
19,23.61,79.79,20.13,24.87,2016-05-05
20,25.21,79.97,20.15,25.79,2016-05-05
20,25.33,80.42,20.19,25.79,2016-05-05
21,21.04,81.09,16.78,21.83,2016-05-05
21,20.69,82.01,17.29,21.83,2016-05-05
22,0.94,77.8,-0.04,20.73,2016-05-05
22,-0.64,77.09,-0.02,20.73,2016-05-05
23,2.94,78.04,1.51,19.08,2016-05-05
23,0.93,77.65,-0.15,19.08,2016-05-05
0,-2.49,76.24,-1.12,28.1,2017-07-28
1,0.2,75.17,0.21,26.8,2017-07-28
2,-17.4,86.69,-12.13,26.34,2017-07-28
3,-0.18,76.14,-0.26,27.48,2017-07-28
4,4.77,75.18,2.46,32.13,2017-07-28
5,24.4,80.12,19.91,38.0,2017-07-28
6,24.93,79.22,20.18,38.8,2017-07-28
7,23.08,80.31,18.06,37.05,2017-07-28
8,22.99,81.05,17.4,35.5,2017-07-28
9,-0.1,77.17,-0.35,29.13,2017-07-28
10,-18.42,84.66,-13.0,23.69,2017-07-28
11,-19.38,85.35,-13.51,21.72,2017-07-28
12,-19.99,84.38,-13.01,21.52,2017-07-28
13,-17.63,85.52,-13.42,24.31,2017-07-28
14,-16.76,86.11,-10.98,26.52,2017-07-28
15,-0.39,76.67,0.02,28.87,2017-07-28
16,22.0,81.77,17.2,34.15,2017-07-28
17,23.29,80.31,19.33,36.96,2017-07-28
18,24.06,81.33,18.17,36.94,2017-07-28
19,22.27,79.66,18.23,36.3,2017-07-28
20,23.38,81.64,18.19,35.95,2017-07-28
21,0.32,73.55,0.13,32.24,2017-07-28
22,-2.82,76.32,-1.36,27.77,2017-07-28
23,-18.61,84.87,-13.29,23.35,2017-07-28
0,-19.05,84.78,-13.23,48.33,2017-12-04
1,-20.17,84.34,-13.4,45.67,2017-12-04
2,-19.97,84.47,-14.3,45.68,2017-12-04
3,-19.72,84.38,-14.45,42.0,2017-12-04
4,-19.21,85.38,-12.26,50.76,2017-12-04
5,-18.68,84.21,-13.8,51.39,2017-12-04
6,-18.58,85.27,-13.4,65.26,2017-12-04
7,0.18,76.27,0.09,94.67,2017-12-04
8,0.54,80.38,-0.22,99.62,2017-12-04
9,0.4,76.28,0.38,81.95,2017-12-04
10,0.53,76.94,0.41,94.13,2017-12-04
11,0.19,76.09,-0.42,99.56,2017-12-04
12,0.1,75.95,-0.11,87.3,2017-12-04
13,0.34,79.59,0.3,89.4,2017-12-04
14,0.39,79.44,-0.11,89.2,2017-12-04
15,3.81,77.66,2.69,89.4,2017-12-04
16,25.08,78.83,19.89,141.81,2017-12-04
17,21.31,80.41,16.01,112.65,2017-12-04
18,-1.35,79.88,-1.44,98.42,2017-12-04
19,-17.08,85.88,-11.98,71.64,2017-12-04
20,-19.63,85.81,-13.93,49.85,2017-12-04
21,-19.32,86.2,-12.76,51.68,2017-12-04
22,-19.45,84.91,-13.37,48.82,2017-12-04
23,-18.91,84.96,-12.87,51.76,2017-12-04
0,-2.94,80.34,-1.49,18.67,2018-04-22
1,-0.38,77.01,0.08,14.34,2018-04-22
2,0.5,74.25,-0.06,17.66,2018-04-22
3,0.05,79.87,-0.41,15.23,2018-04-22
4,20.59,81.56,17.11,27.74,2018-04-22
5,3.99,73.89,2.1,24.83,2018-04-22
6,0.22,76.38,-0.06,20.68,2018-04-22
7,-0.22,78.69,-0.03,15.96,2018-04-22
8,-0.73,80.09,-0.25,15.68,2018-04-22
9,-3.36,77.58,-2.07,13.99,2018-04-22
10,-0.72,78.1,-0.03,13.83,2018-04-22
11,-18.87,83.96,-13.52,4.0,2018-04-22
12,-19.97,84.81,-13.22,2.42,2018-04-22
13,-19.41,84.44,-13.24,3.03,2018-04-22
14,-18.52,84.62,-13.22,6.05,2018-04-22
15,0.64,76.79,0.29,22.29,2018-04-22
16,22.73,80.3,18.85,32.7,2018-04-22
17,24.61,80.65,19.26,35.0,2018-04-22
18,24.86,80.08,18.75,36.96,2018-04-22
19,23.96,81.29,19.17,33.71,2018-04-22
20,23.61,81.34,18.29,32.34,2018-04-22
21,-0.45,78.87,-0.5,24.1,2018-04-22
22,0.55,74.09,0.16,18.49,2018-04-22
23,0.28,77.73,0.42,16.08,2018-04-22
0,0.37,80.18,-0.21,42.8,2018-08-12
0,0.21,76.23,0.23,42.8,2018-08-12
1,3.47,78.84,2.97,42.05,2018-08-12
1,0.93,77.89,0.79,42.05,2018-08-12
2,0.37,76.87,-0.23,40.99,2018-08-12
2,0.69,74.82,0.21,40.99,2018-08-12
3,-0.25,77.12,-0.28,40.93,2018-08-12
3,-0.65,80.01,-0.09,40.93,2018-08-12
4,-0.09,74.35,0.35,41.47,2018-08-12
4,0.73,76.17,-0.46,41.47,2018-08-12
5,2.41,74.29,1.13,40.97,2018-08-12
5,-0.65,78.02,0.3,40.97,2018-08-12
6,-0.1,74.94,-0.02,41.1,2018-08-12
6,-0.19,74.0,-0.12,41.1,2018-08-12
7,3.96,79.86,2.02,39.9,2018-08-12
7,1.47,78.55,-0.32,39.9,2018-08-12
8,-17.32,85.37,-11.95,36.47,2018-08-12
8,-17.24,85.86,-11.89,36.47,2018-08-12
9,-17.52,86.26,-12.55,36.17,2018-08-12
9,-17.97,85.58,-12.19,36.17,2018-08-12
10,-17.66,85.11,-11.42,35.69,2018-08-12
10,-17.88,85.35,-12.44,35.69,2018-08-12
11,-18.76,84.7,-13.31,30.63,2018-08-12
11,-19.06,85.37,-12.97,30.63,2018-08-12
12,-20.48,83.65,-14.8,26.78,2018-08-12
12,-19.84,84.01,-14.75,26.78,2018-08-12
13,-19.33,85.74,-13.5,28.57,2018-08-12
13,-19.83,85.16,-14.03,28.57,2018-08-12
14,-19.0,85.67,-13.77,32.37,2018-08-12
14,-17.86,86.66,-12.56,32.37,2018-08-12
15,0.05,78.31,0.02,42.56,2018-08-12
15,0.37,78.62,-0.24,42.56,2018-08-12
16,0.83,73.88,-0.22,51.19,2018-08-12
16,0.13,75.37,0.48,51.19,2018-08-12
17,23.84,80.64,19.49,57.55,2018-08-12
17,23.41,81.11,18.32,57.55,2018-08-12
18,24.47,80.82,20.11,61.35,2018-08-12
18,24.24,80.46,19.34,61.35,2018-08-12
19,25.04,79.75,20.08,63.02,2018-08-12
19,25.17,79.61,20.42,63.02,2018-08-12
20,24.41,79.97,19.45,62.1,2018-08-12
20,24.5,79.92,20.06,62.1,2018-08-12
21,22.25,80.69,18.87,57.73,2018-08-12
21,22.72,80.83,17.74,57.73,2018-08-12
22,-2.83,79.7,-1.53,50.6,2018-08-12
22,0.14,73.6,0.03,50.6,2018-08-12
23,0.59,78.91,0.11,47.08,2018-08-12
23,0.87,75.74,-0.36,47.08,2018-08-12
0,-18.09,85.8,-13.15,36.66,2019-02-28
1,-18.02,84.68,-13.18,34.8,2019-02-28
2,-20.4,83.89,-14.93,30.89,2019-02-28
3,-18.6,85.22,-14.01,34.0,2019-02-28
4,-19.23,85.08,-12.86,33.51,2019-02-28
5,5.64,77.53,3.05,42.45,2019-02-28
6,4.08,78.48,2.54,49.34,2019-02-28
7,22.41,80.92,17.98,53.39,2019-02-28
8,22.2,81.68,17.58,54.15,2019-02-28
9,-0.12,78.82,0.19,42.6,2019-02-28
10,-16.68,86.06,-11.99,38.89,2019-02-28
11,-18.4,86.02,-12.99,38.0,2019-02-28
12,-18.0,85.91,-12.32,37.08,2019-02-28
13,-17.25,85.67,-12.26,38.05,2019-02-28
14,-3.87,76.51,-2.48,48.95,2019-02-28
15,21.44,81.63,18.28,52.45,2019-02-28
16,25.78,80.04,20.8,59.39,2019-02-28
17,23.6,80.67,18.63,55.46,2019-02-28
18,21.69,81.69,16.97,50.97,2019-02-28
