"date","type","cluster_index","prices_hourly","prices_quarterly"
"2024-01-08","oos_0","0","87.03,84.30,81.69,78.97,78.46,82.10,94.30,111.08,121.11,117.83,110.59,103.00,95.46,94.58,100.00,107.98,116.81,129.19,129.99,121.85,114.16,102.48,99.75,91.49","87.03,87.03,87.03,87.03,84.30,84.30,84.30,84.30,81.69,81.69,81.69,81.69,78.97,78.97,78.97,78.97,78.46,78.46,78.46,78.46,82.10,82.10,82.10,82.10,94.30,94.30,94.30,94.30,111.08,111.08,111.08,111.08,121.11,121.11,121.11,121.11,117.83,117.83,117.83,117.83,110.59,110.59,110.59,110.59,103.00,103.00,103.00,103.00,95.46,95.46,95.46,95.46,94.58,94.58,94.58,94.58,100.00,100.00,100.00,100.00,107.98,107.98,107.98,107.98,116.81,116.81,116.81,116.81,129.19,129.19,129.19,129.19,129.99,129.99,129.99,129.99,121.85,121.85,121.85,121.85,114.16,114.16,114.16,114.16,102.48,102.48,102.48,102.48,99.75,99.75,99.75,99.75,91.49,91.49,91.49,91.49"
"2024-03-04","oos_1","1","69.13,67.90,67.41,66.22,65.59,70.83,81.18,96.67,102.97,85.02,72.16,65.07,63.93,61.14,62.50,69.86,79.18,99.40,105.18,99.13,80.52,71.39,67.49,63.93","69.13,69.13,69.13,69.13,67.90,67.90,67.90,67.90,67.41,67.41,67.41,67.41,66.22,66.22,66.22,66.22,65.59,65.59,65.59,65.59,70.83,70.83,70.83,70.83,81.18,81.18,81.18,81.18,96.67,96.67,96.67,96.67,102.97,102.97,102.97,102.97,85.02,85.02,85.02,85.02,72.16,72.16,72.16,72.16,65.07,65.07,65.07,65.07,63.93,63.93,63.93,63.93,61.14,61.14,61.14,61.14,62.50,62.50,62.50,62.50,69.86,69.86,69.86,69.86,79.18,79.18,79.18,79.18,99.40,99.40,99.40,99.40,105.18,105.18,105.18,105.18,99.13,99.13,99.13,99.13,80.52,80.52,80.52,80.52,71.39,71.39,71.39,71.39,67.49,67.49,67.49,67.49,63.93,63.93,63.93,63.93"
"2024-01-23","oos_2","2","18.05,12.51,11.58,6.61,12.27,40.30,63.03,83.01,90.63,87.82,90.68,69.58,63.11,61.31,66.08,72.97,71.52,81.20,85.19,76.01,65.02,59.18,49.44,35.17","18.05,18.05,18.05,18.05,12.51,12.51,12.51,12.51,11.58,11.58,11.58,11.58,6.61,6.61,6.61,6.61,12.27,12.27,12.27,12.27,40.30,40.30,40.30,40.30,63.03,63.03,63.03,63.03,83.01,83.01,83.01,83.01,90.63,90.63,90.63,90.63,87.82,87.82,87.82,87.82,90.68,90.68,90.68,90.68,69.58,69.58,69.58,69.58,63.11,63.11,63.11,63.11,61.31,61.31,61.31,61.31,66.08,66.08,66.08,66.08,72.97,72.97,72.97,72.97,71.52,71.52,71.52,71.52,81.20,81.20,81.20,81.20,85.19,85.19,85.19,85.19,76.01,76.01,76.01,76.01,65.02,65.02,65.02,65.02,59.18,59.18,59.18,59.18,49.44,49.44,49.44,49.44,35.17,35.17,35.17,35.17"
"2024-02-26","oos_3","3","57.83,56.82,55.69,51.80,52.84,57.92,65.52,76.73,81.60,73.83,66.65,65.03,58.42,58.19,61.29,64.95,69.66,77.00,85.37,81.27,72.67,65.85,65.21,60.76","57.83,57.83,57.83,57.83,56.82,56.82,56.82,56.82,55.69,55.69,55.69,55.69,51.80,51.80,51.80,51.80,52.84,52.84,52.84,52.84,57.92,57.92,57.92,57.92,65.52,65.52,65.52,65.52,76.73,76.73,76.73,76.73,81.60,81.60,81.60,81.60,73.83,73.83,73.83,73.83,66.65,66.65,66.65,66.65,65.03,65.03,65.03,65.03,58.42,58.42,58.42,58.42,58.19,58.19,58.19,58.19,61.29,61.29,61.29,61.29,64.95,64.95,64.95,64.95,69.66,69.66,69.66,69.66,77.00,77.00,77.00,77.00,85.37,85.37,85.37,85.37,81.27,81.27,81.27,81.27,72.67,72.67,72.67,72.67,65.85,65.85,65.85,65.85,65.21,65.21,65.21,65.21,60.76,60.76,60.76,60.76"
"2024-10-20","oos_4","4","47.33,43.11,42.90,38.64,39.61,41.52,38.65,44.72,42.93,30.77,6.37,0.08,0.00,-0.98,-2.01,0.00,2.75,35.25,41.26,46.49,35.53,22.50,13.15,2.09","47.33,47.33,47.33,47.33,43.11,43.11,43.11,43.11,42.90,42.90,42.90,42.90,38.64,38.64,38.64,38.64,39.61,39.61,39.61,39.61,41.52,41.52,41.52,41.52,38.65,38.65,38.65,38.65,44.72,44.72,44.72,44.72,42.93,42.93,42.93,42.93,30.77,30.77,30.77,30.77,6.37,6.37,6.37,6.37,0.08,0.08,0.08,0.08,0.00,0.00,0.00,0.00,-0.98,-0.98,-0.98,-0.98,-2.01,-2.01,-2.01,-2.01,0.00,0.00,0.00,0.00,2.75,2.75,2.75,2.75,35.25,35.25,35.25,35.25,41.26,41.26,41.26,41.26,46.49,46.49,46.49,46.49,35.53,35.53,35.53,35.53,22.50,22.50,22.50,22.50,13.15,13.15,13.15,13.15,2.09,2.09,2.09,2.09"
"2024-03-28","oos_5","5","59.57,41.08,37.24,36.48,30.14,30.53,37.57,54.88,48.95,42.34,20.65,13.98,6.72,0.05,0.03,6.35,15.27,25.80,40.35,62.65,42.32,28.21,32.14,25.00","59.57,59.57,59.57,59.57,41.08,41.08,41.08,41.08,37.24,37.24,37.24,37.24,36.48,36.48,36.48,36.48,30.14,30.14,30.14,30.14,30.53,30.53,30.53,30.53,37.57,37.57,37.57,37.57,54.88,54.88,54.88,54.88,48.95,48.95,48.95,48.95,42.34,42.34,42.34,42.34,20.65,20.65,20.65,20.65,13.98,13.98,13.98,13.98,6.72,6.72,6.72,6.72,0.05,0.05,0.05,0.05,0.03,0.03,0.03,0.03,6.35,6.35,6.35,6.35,15.27,15.27,15.27,15.27,25.80,25.80,25.80,25.80,40.35,40.35,40.35,40.35,62.65,62.65,62.65,62.65,42.32,42.32,42.32,42.32,28.21,28.21,28.21,28.21,32.14,32.14,32.14,32.14,25.00,25.00,25.00,25.00"
"2024-05-21","oos_6","6","92.47,80.00,60.83,62.07,67.86,81.22,82.84,94.51,85.17,71.94,57.72,45.53,26.83,28.06,51.43,54.17,61.55,70.83,99.30,109.40,109.80,93.05,85.49,73.24","92.47,92.47,92.47,92.47,80.00,80.00,80.00,80.00,60.83,60.83,60.83,60.83,62.07,62.07,62.07,62.07,67.86,67.86,67.86,67.86,81.22,81.22,81.22,81.22,82.84,82.84,82.84,82.84,94.51,94.51,94.51,94.51,85.17,85.17,85.17,85.17,71.94,71.94,71.94,71.94,57.72,57.72,57.72,57.72,45.53,45.53,45.53,45.53,26.83,26.83,26.83,26.83,28.06,28.06,28.06,28.06,51.43,51.43,51.43,51.43,54.17,54.17,54.17,54.17,61.55,61.55,61.55,61.55,70.83,70.83,70.83,70.83,99.30,99.30,99.30,99.30,109.40,109.40,109.40,109.40,109.80,109.80,109.80,109.80,93.05,93.05,93.05,93.05,85.49,85.49,85.49,85.49,73.24,73.24,73.24,73.24"
"2024-03-24","oos_7","7","15.02,7.30,6.16,4.80,4.89,4.51,4.18,1.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.89,34.35,62.91,74.90,66.44,66.00,63.05,63.11","15.02,15.02,15.02,15.02,7.30,7.30,7.30,7.30,6.16,6.16,6.16,6.16,4.80,4.80,4.80,4.80,4.89,4.89,4.89,4.89,4.51,4.51,4.51,4.51,4.18,4.18,4.18,4.18,1.19,1.19,1.19,1.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.89,3.89,3.89,3.89,34.35,34.35,34.35,34.35,62.91,62.91,62.91,62.91,74.90,74.90,74.90,74.90,66.44,66.44,66.44,66.44,66.00,66.00,66.00,66.00,63.05,63.05,63.05,63.05,63.11,63.11,63.11,63.11"
"2024-04-06","oos_8","8","26.24,24.78,25.88,26.17,27.93,22.70,21.43,21.92,18.32,4.11,-10.00,-10.80,-20.00,-54.42,-45.66,-33.01,-0.49,2.59,33.30,40.11,37.97,33.44,28.56,17.04","26.24,26.24,26.24,26.24,24.78,24.78,24.78,24.78,25.88,25.88,25.88,25.88,26.17,26.17,26.17,26.17,27.93,27.93,27.93,27.93,22.70,22.70,22.70,22.70,21.43,21.43,21.43,21.43,21.92,21.92,21.92,21.92,18.32,18.32,18.32,18.32,4.11,4.11,4.11,4.11,-10.00,-10.00,-10.00,-10.00,-10.80,-10.80,-10.80,-10.80,-20.00,-20.00,-20.00,-20.00,-54.42,-54.42,-54.42,-54.42,-45.66,-45.66,-45.66,-45.66,-33.01,-33.01,-33.01,-33.01,-0.49,-0.49,-0.49,-0.49,2.59,2.59,2.59,2.59,33.30,33.30,33.30,33.30,40.11,40.11,40.11,40.11,37.97,37.97,37.97,37.97,33.44,33.44,33.44,33.44,28.56,28.56,28.56,28.56,17.04,17.04,17.04,17.04"
"2024-03-26","oos_9","9","61.57,53.83,47.08,45.71,57.74,62.29,75.33,79.20,72.08,62.00,49.50,37.03,27.84,29.57,37.10,50.23,63.74,81.05,103.29,100.30,79.23,77.05,69.78,63.31","61.57,61.57,61.57,61.57,53.83,53.83,53.83,53.83,47.08,47.08,47.08,47.08,45.71,45.71,45.71,45.71,57.74,57.74,57.74,57.74,62.29,62.29,62.29,62.29,75.33,75.33,75.33,75.33,79.20,79.20,79.20,79.20,72.08,72.08,72.08,72.08,62.00,62.00,62.00,62.00,49.50,49.50,49.50,49.50,37.03,37.03,37.03,37.03,27.84,27.84,27.84,27.84,29.57,29.57,29.57,29.57,37.10,37.10,37.10,37.10,50.23,50.23,50.23,50.23,63.74,63.74,63.74,63.74,81.05,81.05,81.05,81.05,103.29,103.29,103.29,103.29,100.30,100.30,100.30,100.30,79.23,79.23,79.23,79.23,77.05,77.05,77.05,77.05,69.78,69.78,69.78,69.78,63.31,63.31,63.31,63.31"
