date,type,cluster_index,prices_hourly,prices_quarterly
2023-09-25,max_deviation,0,"1.09,0.0,0.49,43.31,86.87,139.15,143.0,118.32,99.68,89.01,89.71,76.11,84.09,92.06,97.46,109.19,183.01,300.0,203.5,131.5,120.57,110.09,114.12,107.99","1.09,1.09,1.09,1.09,0.0,0.0,0.0,0.0,0.49,0.49,0.49,0.49,43.31,43.31,43.31,43.31,86.87,86.87,86.87,86.87,139.15,139.15,139.15,139.15,143.0,143.0,143.0,143.0,118.32,118.32,118.32,118.32,99.68,99.68,99.68,99.68,89.01,89.01,89.01,89.01,89.71,89.71,89.71,89.71,76.11,76.11,76.11,76.11,84.09,84.09,84.09,84.09,92.06,92.06,92.06,92.06,97.46,97.46,97.46,97.46,109.19,109.19,109.19,109.19,183.01,183.01,183.01,183.01,300.0,300.0,300.0,300.0,203.5,203.5,203.5,203.5,131.5,131.5,131.5,131.5,120.57,120.57,120.57,120.57,110.09,110.09,110.09,110.09,114.12,114.12,114.12,114.12,107.99,107.99,107.99,107.99"
2023-01-23,highest_price,1,"160.14,160.89,152.47,151.13,155.41,189.9,226.54,257.9,270.13,249.8,230.14,220.88,219.1,219.62,218.99,224.58,248.9,248.07,223.19,206.15,184.01,177.92,170.22,164.85","160.14,160.14,160.14,160.14,160.89,160.89,160.89,160.89,152.47,152.47,152.47,152.47,151.13,151.13,151.13,151.13,155.41,155.41,155.41,155.41,189.9,189.9,189.9,189.9,226.54,226.54,226.54,226.54,257.9,257.9,257.9,257.9,270.13,270.13,270.13,270.13,249.8,249.8,249.8,249.8,230.14,230.14,230.14,230.14,220.88,220.88,220.88,220.88,219.1,219.1,219.1,219.1,219.62,219.62,219.62,219.62,218.99,218.99,218.99,218.99,224.58,224.58,224.58,224.58,248.9,248.9,248.9,248.9,248.07,248.07,248.07,248.07,223.19,223.19,223.19,223.19,206.15,206.15,206.15,206.15,184.01,184.01,184.01,184.01,177.92,177.92,177.92,177.92,170.22,170.22,170.22,170.22,164.85,164.85,164.85,164.85"
2023-12-24,lowest_price,2,"-0.09,-0.29,-0.97,-3.74,-4.97,-4.22,-3.05,-1.62,-0.67,-0.89,-0.91,-0.55,-1.03,-0.15,0.22,0.39,9.83,10.09,9.49,2.54,-1.91,-2.57,-4.79,-3.91","-0.09,-0.09,-0.09,-0.09,-0.29,-0.29,-0.29,-0.29,-0.97,-0.97,-0.97,-0.97,-3.74,-3.74,-3.74,-3.74,-4.97,-4.97,-4.97,-4.97,-4.22,-4.22,-4.22,-4.22,-3.05,-3.05,-3.05,-3.05,-1.62,-1.62,-1.62,-1.62,-0.67,-0.67,-0.67,-0.67,-0.89,-0.89,-0.89,-0.89,-0.91,-0.91,-0.91,-0.91,-0.55,-0.55,-0.55,-0.55,-1.03,-1.03,-1.03,-1.03,-0.15,-0.15,-0.15,-0.15,0.22,0.22,0.22,0.22,0.39,0.39,0.39,0.39,9.83,9.83,9.83,9.83,10.09,10.09,10.09,10.09,9.49,9.49,9.49,9.49,2.54,2.54,2.54,2.54,-1.91,-1.91,-1.91,-1.91,-2.57,-2.57,-2.57,-2.57,-4.79,-4.79,-4.79,-4.79,-3.91,-3.91,-3.91,-3.91"
2023-10-24,typical_3,3,"94.54,89.46,90.31,94.69,102.0,120.59,130.77,136.35,128.37,125.0,118.99,112.54,110.0,109.59,118.1,133.16,149.98,154.12,133.45,119.31,114.1,102.78,99.07,94.56","94.54,94.54,94.54,94.54,89.46,89.46,89.46,89.46,90.31,90.31,90.31,90.31,94.69,94.69,94.69,94.69,102.0,102.0,102.0,102.0,120.59,120.59,120.59,120.59,130.77,130.77,130.77,130.77,136.35,136.35,136.35,136.35,128.37,128.37,128.37,128.37,125.0,125.0,125.0,125.0,118.99,118.99,118.99,118.99,112.54,112.54,112.54,112.54,110.0,110.0,110.0,110.0,109.59,109.59,109.59,109.59,118.1,118.1,118.1,118.1,133.16,133.16,133.16,133.16,149.98,149.98,149.98,149.98,154.12,154.12,154.12,154.12,133.45,133.45,133.45,133.45,119.31,119.31,119.31,119.31,114.1,114.1,114.1,114.1,102.78,102.78,102.78,102.78,99.07,99.07,99.07,99.07,94.56,94.56,94.56,94.56"
2023-02-22,typical_4,4,"127.56,125.3,124.48,125.42,129.24,153.37,173.13,176.34,164.55,150.91,144.93,120.1,131.1,136.12,151.01,157.02,165.01,175.0,172.73,162.06,154.02,151.93,134.62,134.77","127.56,127.56,127.56,127.56,125.3,125.3,125.3,125.3,124.48,124.48,124.48,124.48,125.42,125.42,125.42,125.42,129.24,129.24,129.24,129.24,153.37,153.37,153.37,153.37,173.13,173.13,173.13,173.13,176.34,176.34,176.34,176.34,164.55,164.55,164.55,164.55,150.91,150.91,150.91,150.91,144.93,144.93,144.93,144.93,120.1,120.1,120.1,120.1,131.1,131.1,131.1,131.1,136.12,136.12,136.12,136.12,151.01,151.01,151.01,151.01,157.02,157.02,157.02,157.02,165.01,165.01,165.01,165.01,175.0,175.0,175.0,175.0,172.73,172.73,172.73,172.73,162.06,162.06,162.06,162.06,154.02,154.02,154.02,154.02,151.93,151.93,151.93,151.93,134.62,134.62,134.62,134.62,134.77,134.77,134.77,134.77"
2023-07-15,typical_5,5,"29.15,19.95,10.0,13.69,19.74,22.6,29.95,17.41,4.6,0.0,-0.02,-0.18,-1.01,-0.1,-0.01,1.06,42.0,69.08,88.65,84.03,83.03,71.82,57.1,19.68","29.15,29.15,29.15,29.15,19.95,19.95,19.95,19.95,10.0,10.0,10.0,10.0,13.69,13.69,13.69,13.69,19.74,19.74,19.74,19.74,22.6,22.6,22.6,22.6,29.95,29.95,29.95,29.95,17.41,17.41,17.41,17.41,4.6,4.6,4.6,4.6,0.0,0.0,0.0,0.0,-0.02,-0.02,-0.02,-0.02,-0.18,-0.18,-0.18,-0.18,-1.01,-1.01,-1.01,-1.01,-0.1,-0.1,-0.1,-0.1,-0.01,-0.01,-0.01,-0.01,1.06,1.06,1.06,1.06,42.0,42.0,42.0,42.0,69.08,69.08,69.08,69.08,88.65,88.65,88.65,88.65,84.03,84.03,84.03,84.03,83.03,83.03,83.03,83.03,71.82,71.82,71.82,71.82,57.1,57.1,57.1,57.1,19.68,19.68,19.68,19.68"
2023-02-06,typical_6,6,"143.73,145.39,142.09,140.1,148.93,175.66,200.65,213.39,200.59,185.08,172.43,153.62,149.11,152.84,162.88,181.8,198.94,213.5,205.38,186.21,166.47,157.31,154.0,145.63","143.73,143.73,143.73,143.73,145.39,145.39,145.39,145.39,142.09,142.09,142.09,142.09,140.1,140.1,140.1,140.1,148.93,148.93,148.93,148.93,175.66,175.66,175.66,175.66,200.65,200.65,200.65,200.65,213.39,213.39,213.39,213.39,200.59,200.59,200.59,200.59,185.08,185.08,185.08,185.08,172.43,172.43,172.43,172.43,153.62,153.62,153.62,153.62,149.11,149.11,149.11,149.11,152.84,152.84,152.84,152.84,162.88,162.88,162.88,162.88,181.8,181.8,181.8,181.8,198.94,198.94,198.94,198.94,213.5,213.5,213.5,213.5,205.38,205.38,205.38,205.38,186.21,186.21,186.21,186.21,166.47,166.47,166.47,166.47,157.31,157.31,157.31,157.31,154.0,154.0,154.0,154.0,145.63,145.63,145.63,145.63"
2023-03-20,typical_7,7,"114.94,113.06,110.18,110.25,116.4,135.77,148.43,148.51,137.56,122.75,115.79,104.6,100.0,101.79,104.8,113.9,133.0,150.98,165.47,152.36,135.49,127.5,117.04,120.79","114.94,114.94,114.94,114.94,113.06,113.06,113.06,113.06,110.18,110.18,110.18,110.18,110.25,110.25,110.25,110.25,116.4,116.4,116.4,116.4,135.77,135.77,135.77,135.77,148.43,148.43,148.43,148.43,148.51,148.51,148.51,148.51,137.56,137.56,137.56,137.56,122.75,122.75,122.75,122.75,115.79,115.79,115.79,115.79,104.6,104.6,104.6,104.6,100.0,100.0,100.0,100.0,101.79,101.79,101.79,101.79,104.8,104.8,104.8,104.8,113.9,113.9,113.9,113.9,133.0,133.0,133.0,133.0,150.98,150.98,150.98,150.98,165.47,165.47,165.47,165.47,152.36,152.36,152.36,152.36,135.49,135.49,135.49,135.49,127.5,127.5,127.5,127.5,117.04,117.04,117.04,117.04,120.79,120.79,120.79,120.79"
2023-05-25,typical_8,8,"81.74,74.78,78.3,81.78,91.23,112.68,104.0,83.35,70.85,55.86,42.15,23.35,21.73,21.37,36.95,68.93,79.18,89.88,105.82,100.0,100.45,90.94,88.11,76.4","81.74,81.74,81.74,81.74,74.78,74.78,74.78,74.78,78.3,78.3,78.3,78.3,81.78,81.78,81.78,81.78,91.23,91.23,91.23,91.23,112.68,112.68,112.68,112.68,104.0,104.0,104.0,104.0,83.35,83.35,83.35,83.35,70.85,70.85,70.85,70.85,55.86,55.86,55.86,55.86,42.15,42.15,42.15,42.15,23.35,23.35,23.35,23.35,21.73,21.73,21.73,21.73,21.37,21.37,21.37,21.37,36.95,36.95,36.95,36.95,68.93,68.93,68.93,68.93,79.18,79.18,79.18,79.18,89.88,89.88,89.88,89.88,105.82,105.82,105.82,105.82,100.0,100.0,100.0,100.0,100.45,100.45,100.45,100.45,90.94,90.94,90.94,90.94,88.11,88.11,88.11,88.11,76.4,76.4,76.4,76.4"
2023-12-11,typical_9,9,"16.09,13.36,9.32,12.42,35.45,74.56,94.05,99.68,98.67,93.47,91.43,84.48,82.92,91.99,97.65,107.16,118.9,123.12,121.69,114.21,99.6,96.55,88.1,88.07","16.09,16.09,16.09,16.09,13.36,13.36,13.36,13.36,9.32,9.32,9.32,9.32,12.42,12.42,12.42,12.42,35.45,35.45,35.45,35.45,74.56,74.56,74.56,74.56,94.05,94.05,94.05,94.05,99.68,99.68,99.68,99.68,98.67,98.67,98.67,98.67,93.47,93.47,93.47,93.47,91.43,91.43,91.43,91.43,84.48,84.48,84.48,84.48,82.92,82.92,82.92,82.92,91.99,91.99,91.99,91.99,97.65,97.65,97.65,97.65,107.16,107.16,107.16,107.16,118.9,118.9,118.9,118.9,123.12,123.12,123.12,123.12,121.69,121.69,121.69,121.69,114.21,114.21,114.21,114.21,99.6,99.6,99.6,99.6,96.55,96.55,96.55,96.55,88.1,88.1,88.1,88.1,88.07,88.07,88.07,88.07"
