Architecture,RMSE,R²,MAE,MAPE,Inference_Time,Parameters,Train_Time
"[32, 16]",207.24798390905855,0.9999984731063991,167.38736986321874,401882812500.68475,4.99725341796875e-07,609,69.09340786933899
"[16, 8]",241.18484147556498,0.9999979321065209,175.64572980426306,546937500000.9991,5.006194114685058e-07,177,106.9616060256958
"[64, 32]",299.0755405920224,0.9999968202722364,282.75344762317224,361039062500.55695,7.497072219848632e-07,2241,57.361658811569214
[16],305.02430272603146,0.9999966925214822,229.94417184902903,892296875001.5686,2.504587173461914e-07,49,237.2897560596466
"[32, 16, 8]",343.55320628187945,0.999995804186672,276.28835152011106,308648437500.9965,7.458925247192382e-07,737,148.7844500541687
"[64, 32, 16]",352.0991567958789,0.9999955928471189,283.8688175506528,710226562501.2134,5.003809928894043e-07,2753,90.95070791244507
"[16, 8, 4]",410.2123266918052,0.9999940180117004,329.80621857498073,1386906250002.8286,5.023479461669922e-07,209,252.9760274887085
[8],607.8241513182264,0.9999868663919665,500.6275606665084,143609375000.60822,4.994869232177735e-07,25,89.08859825134277
"[8, 8]",896.7940203620736,0.9999714100396071,684.8918928768697,2541195312506.1787,5.279183387756347e-07,97,91.88027167320251
[4],2872.5546107423424,0.999706664426636,2296.595363137686,1945085937505.022,5.002617835998536e-07,13,68.05309557914734
"[4, 4]",3677.34303337616,0.999519275303258,3028.137317523295,375000000002.8562,5.013346672058105e-07,33,57.94920468330383
