Architecture,RMSE,R²,MAE,MAPE,Inference_Time,Parameters,Train_Time
"[64, 32]",0.027877187149414877,0.9999947460216069,0.021062080741655262,0.028787066824277986,1.7500519752502442e-06,2241,73.02260065078735
"[32, 16]",0.038325596550914304,0.9999900695660271,0.028776729174538433,0.03967335833092195,4.991292953491211e-07,609,138.6865532398224
"[32, 16, 8]",0.04367669092225686,0.9999871029662578,0.031875814194390915,0.044525931724944595,4.963278770446777e-07,737,96.44387173652649
"[64, 32, 16]",0.048569916691206375,0.9999840513070027,0.042562936118472956,0.054807348494790145,4.994869232177735e-07,2753,109.82626008987427
"[16, 8, 4]",0.049494577133976266,0.9999834382731596,0.03167004368825404,0.04553492736008108,1.0069012641906739e-06,209,171.72514533996582
"[8, 8]",0.06986004307694393,0.9999670050040573,0.04952064296073692,0.06762104666491645,7.479190826416016e-07,97,154.6016342639923
"[16, 8]",0.1599862563807943,0.9998269563235394,0.1268589535883827,0.17606341211978252,2.5135278701782224e-07,177,101.15541005134583
[16],0.21542401939769854,0.9996862536872391,0.13341879446506394,0.1663742902707882,7.509589195251465e-07,49,73.2545874118805
[8],0.21901843186765232,0.9996756964434892,0.15711287000265184,0.19994174932298875,4.99725341796875e-07,25,97.72398638725281
[4],0.35010569242475337,0.9991713164358355,0.2760330202037076,0.3828022490439163,4.501461982727051e-06,13,106.55077242851257
"[4, 4]",1.2133728089457414,0.9900464294758262,0.9615452419876453,1.3735494064976197,7.473230361938477e-07,33,80.76812195777893
