date,hour,power,head,volume,flow,price
2024/04/09,0,4.6470323,74.983765,339274.7,7.9850483,48.59
2024/04/09,1,3.2668016,73.59778,359046.84,5.4922657,38.15
2024/04/09,2,3.3111079,72.1396,379396.9,5.652796,38.54
2024/04/09,3,4.763212,69.7941,410998.47,8.778208,41.84
2024/04/09,4,4.6278815,67.34048,442212.38,8.6705265,41.1
2024/04/09,5,4.3874245,64.80616,472022.53,8.2806,58.65
2024/04/09,6,4.744014,61.607624,505667.28,9.345762,63.05
2024/04/09,7,3.5568516,58.999615,529790.1,6.700796,46.47
2024/04/09,8,2.8567472,56.637493,549268.8,5.4107513,32.52
2024/04/09,9,-4.017625,60.290443,518210.75,-8.627242,27.12
2024/04/09,10,-4.322832,63.495987,486353.75,-8.849166,17.48
2024/04/09,11,-4.6563063,66.40734,453497.0,-9.126876,4.08
2024/04/09,12,-5.4041686,69.33997,416931.03,-10.15721,4.28
2024/04/09,13,-5.338393,71.90654,382603.0,-9.535567,19.69
2024/04/09,14,-5.9139724,74.48469,346440.25,-10.045211,13.22
2024/04/09,15,-5.552076,76.72328,313908.25,-9.036666,22.92
2024/04/09,16,4.943067,74.57875,345093.6,8.662592,41.91
2024/04/09,17,5.3235874,72.064964,380425.1,9.814302,57.73
2024/04/09,18,4.256782,70.02588,407945.53,7.6445637,53.42
2024/04/09,19,5.1958256,67.18232,444149.22,10.0565815,48.34
2024/04/09,20,4.7749043,64.32162,477411.0,9.239386,40.43
2024/04/09,21,0.0,64.32162,477411.0,0.0,25.0
2024/04/09,22,0.0,64.32162,477411.0,0.0,25.84
2024/04/09,23,-5.1305823,67.40578,441409.97,-10.000289,6.65
2024/07/09,0,0.0,76.951965,310528.5,0.0,53.14
2024/07/09,1,-5.750101,79.095436,278325.66,-8.945235,41.26
2024/07/09,2,-6.911438,81.44665,241831.98,-10.13713,38.7
2024/07/09,3,-6.317049,83.46914,209392.72,-9.010909,49.9
2024/07/09,4,0.0,83.46914,209392.72,0.0,58.21
2024/07/09,5,4.69428,81.86238,235243.25,7.180704,75.38
2024/07/09,6,5.430451,79.81422,267304.97,8.906031,75.58
2024/07/09,7,3.957769,78.327774,289970.06,6.295862,59.81
2024/07/09,8,-5.7859964,80.391174,258373.66,-8.776778,46.63
2024/07/09,9,-7.1252155,82.70629,221741.12,-10.175704,33.71
2024/07/09,10,-7.030865,84.84017,186892.77,-9.680099,21.95
