date,hour,power,head,volume,flow,price
2024/04/09,0,5.178842,74.69257,343461.56,9.148073,48.59
2024/04/09,1,3.0124185,73.40345,361786.7,5.090311,38.15
2024/04/09,2,3.7633967,71.71437,385236.22,6.5137577,38.54
2024/04/09,3,4.106939,69.741135,411693.75,7.3493137,41.84
2024/04/09,4,3.7515583,67.846886,435946.28,6.7368107,41.1
2024/04/09,5,4.4096875,65.35237,465825.7,8.299837,58.65
2024/04/09,6,4.599771,62.379368,497965.53,8.927736,63.05
2024/04/09,7,4.4764056,59.015408,529652.5,8.801939,46.47
2024/04/09,8,3.0925348,56.44578,550758.56,5.862795,32.52
2024/04/09,9,-4.2197776,60.35606,517603.53,-9.209731,27.12
2024/04/09,10,-4.6475224,63.81618,482921.5,-9.633895,17.48
2024/04/09,11,-4.8206224,66.7888,448925.9,-9.443221,4.08
2024/04/09,12,-5.374411,69.657776,412786.22,-10.038802,4.28
2024/04/09,13,-5.767546,72.382706,376038.56,-10.207686,19.69
2024/04/09,14,-5.991227,74.950485,339754.06,-10.079024,13.22
2024/04/09,15,-5.9203563,77.2957,305428.66,-9.534835,22.92
2024/04/09,16,4.560255,75.39145,333383.75,7.7653065,41.91
2024/04/09,17,5.6537056,72.73736,371113.97,10.480616,57.73
2024/04/09,18,4.814212,70.40426,402926.94,8.836939,53.42
2024/04/09,19,5.5067105,67.36064,441964.8,10.843859,48.34
2024/04/09,20,3.7735128,65.26218,466857.88,6.9147434,40.43
2024/04/09,21,0.0,65.26218,466857.88,0.0,25.0
2024/04/09,22,0.0,65.26218,466857.88,0.0,25.84
2024/04/09,23,-4.9797487,68.12037,432522.38,-9.5376425,6.65
2024/07/09,0,0.0,76.951965,310528.5,0.0,53.14
2024/07/09,1,-6.179214,79.242226,276084.44,-9.567794,41.26
2024/07/09,2,-6.088045,81.34309,243466.75,-9.06047,38.7
2024/07/09,3,-5.8667946,83.23924,213128.06,-8.427413,49.9
2024/07/09,4,0.0,83.23924,213128.06,0.0,58.21
2024/07/09,5,4.499396,81.701355,237800.25,6.853388,75.38
2024/07/09,6,4.0092626,80.283936,260039.47,6.177561,75.58
2024/07/09,7,3.3018637,79.07253,278674.94,5.176523,59.81
2024/07/09,8,-5.6064725,81.02575,248460.17,-8.392989,46.63
2024/07/09,9,-7.1986103,83.315735,211886.53,-10.159347,33.71
2024/07/09,10,-7.252912,85.47062,176440.52,-9.846114,21.95
2024/07/09,11,-7.6455016,87.626076,140548.9,-9.969893,7.32
2024/07/09,12,-8.115407,89.88963,103726.53,-10.228438,5.31
2024/07/09,13,-8.130642,92.257774,68111.766,-9.892989,12.12
2024/07/09,14,0.0,92.257774,68111.766,0.0,46.43
2024/07/09,15,7.846935,89.77629,105521.016,10.3914585,77.36
2024/07/09,16,7.637758,87.38881,144489.06,10.824457,102.11
2024/07/09,17,7.3818474,84.97628,184640.72,11.153238,110.09
