hour,p_T,p_P,p_total,q,h,v_low,price,solution_time,mode,p_sim,q_sim,h_sim,v_low_sim,mode_sim,date,solution_time_seconds,opt_objective,sim_profit,si_penalty,vol_penalty,op_cost
0,0.0,0.0,0.0,0.0,77.0,310351.0483917608,6.0,301.3593280315399,Idle,0.0,0.0,76.95196533203125,310528.5,Idle,2024-06-16,301.3593280315399,1755.2825812066192,1715.0496826171875,34.58968734741211,0.0,1305.993408203125
1,0.0,0.0,0.0,6.750155989720952e-14,77.0,310351.048391761,4.010000228881836,301.3593280315399,Idle,0.0,0.0,76.95196533203125,310528.5,Idle,2024-06-16,301.3593280315399,1755.2825812066192,1715.0496826171875,34.58968734741211,0.0,1305.993408203125
2,0.0,0.0,0.0,0.0,76.99999999999997,310351.0483917609,3.0199999809265137,301.3593280315399,Idle,0.0,0.0,76.95196533203125,310528.5,Idle,2024-06-16,301.3593280315399,1755.2825812066192,1715.0496826171875,34.58968734741211,0.0,1305.993408203125
3,0.0,0.0,0.0,8.526512829121202e-14,76.99999999999994,310351.04839176126,2.9600000381469727,301.3593280315399,Idle,0.0,0.0,76.95196533203125,310528.5,Idle,2024-06-16,301.3593280315399,1755.2825812066192,1715.0496826171875,34.58968734741211,0.0,1305.993408203125
4,0.0,0.0,0.0,5.968558980384842e-13,76.9999999999998,310351.04839176347,3.509999990463257,301.3593280315399,Idle,0.0,0.0,76.95196533203125,310528.5,Idle,2024-06-16,301.3593280315399,1755.2825812066192,1715.0496826171875,34.58968734741211,0.0,1305.993408203125
5,0.0,0.0,0.0,0.0,76.99999999999982,310351.04839176335,0.4699999988079071,301.3593280315399,Idle,0.0,0.0,76.95196533203125,310528.5,Idle,2024-06-16,301.3593280315399,1755.2825812066192,1715.0496826171875,34.58968734741211,0.0,1305.993408203125
6,0.0,0.0,0.0,0.0,76.9999999999998,310351.04839176335,-0.019999999552965164,301.3593280315399,Idle,0.0,0.0,76.95196533203125,310528.5,Idle,2024-06-16,301.3593280315399,1755.2825812066192,1715.0496826171875,34.58968734741211,0.0,1305.993408203125
7,0.0,0.0,0.0,0.0,76.99999999999982,310351.04839176335,-1.2699999809265137,301.3593280315399,Idle,0.0,0.0,76.95196533203125,310528.5,Idle,2024-06-16,301.3593280315399,1755.2825812066192,1715.0496826171875,34.58968734741211,0.0,1305.993408203125
8,0.0,0.0,0.0,0.0,76.99999999999983,310351.04839176335,-10.0,301.3593280315399,Idle,0.0,0.0,76.95196533203125,310528.5,Idle,2024-06-16,301.3593280315399,1755.2825812066192,1715.0496826171875,34.58968734741211,0.0,1305.993408203125
9,0.0,0.0,0.0,5.968558980384842e-13,76.99999999999967,310351.04839176545,-13.34000015258789,301.3593280315399,Idle,0.0,0.0,76.95196533203125,310528.5,Idle,2024-06-16,301.3593280315399,1755.2825812066192,1715.0496826171875,34.58968734741211,0.0,1305.993408203125
