date,hour,power,head,volume,flow,price
2024/04/09,0,4.0527153,75.287544,334888.28,6.7666035,48.59
2024/04/09,1,4.2621098,73.4315,361391.56,7.3620243,38.15
2024/04/09,2,2.851254,72.16842,378999.53,4.8911,38.54
2024/04/09,3,4.1512117,70.1979,405669.34,7.4082813,41.84
2024/04/09,4,4.703389,67.72961,437406.06,8.815752,41.1
2024/04/09,5,4.4189925,65.21535,467392.34,8.329519,58.65
2024/04/09,6,4.2574735,62.518536,496548.62,8.098967,63.05
2024/04/09,7,3.8872602,59.754326,523103.88,7.376463,46.47
2024/04/09,8,3.551696,56.872498,547424.6,6.75576,32.52
2024/04/09,9,-4.13058,60.594456,515382.06,-8.90071,27.12
2024/04/09,10,-4.562741,63.941742,481563.12,-9.394149,17.48
2024/04/09,11,-5.010366,67.01445,446194.47,-9.82463,4.08
2024/04/09,12,-5.0899215,69.7076,412133.4,-9.46141,4.28
2024/04/09,13,-5.502458,72.31513,376973.47,-9.766646,19.69
2024/04/09,14,-6.045525,74.90847,340358.94,-10.170699,13.22
2024/04/09,15,-5.335925,77.02957,309379.1,-8.605514,22.92
2024/04/09,16,4.7005043,75.035866,338523.66,8.095713,41.91
2024/04/09,17,4.8763,72.82216,369932.12,8.724573,57.73
2024/04/09,18,4.983637,70.38825,403140.12,9.224443,53.42
2024/04/09,19,4.5299306,68.05398,433356.12,8.393335,48.34
2024/04/09,20,4.7505536,65.32451,466144.9,9.107996,40.43
2024/04/09,21,0.0,65.32451,466144.9,0.0,25.0
2024/04/09,22,0.0,65.32451,466144.9,0.0,25.84
2024/04/09,23,-5.057064,68.21931,431277.0,-9.685531,6.65
2024/07/09,0,0.0,76.951965,310528.5,0.0,53.14
2024/07/09,1,-6.372042,79.303154,275152.8,-9.826583,41.26
2024/07/09,2,-6.487178,81.52077,240660.4,-9.581222,38.7
2024/07/09,3,-5.88218,83.41063,210344.56,-8.421065,49.9
2024/07/09,4,0.0,83.41063,210344.56,0.0,58.21
2024/07/09,5,6.153477,81.1482,246536.2,10.053232,75.38
2024/07/09,6,5.251238,79.13558,277713.25,8.660288,75.58
2024/07/09,7,4.1012306,77.55311,301593.75,6.6334705,59.81
2024/07/09,8,-5.892213,79.70515,268984.84,-9.058028,46.63
