Method,Noise,Samples,Ex_post_Profit,Ex_post_Std,Expected_Profit,SI_Penalty,Volume_Penalty,Operating_Cost,Processing_Time_Seconds
MIQP-GL,--,19,3409.1186137952304,1433.4605174052779,3573.256349527999,96.96062790720086,28.544868670011823,308.8693245335629,2.3333378340068616
MIQP-PW,--,19,3793.0979582134046,1544.2998934618788,3899.968662883195,-9.614416323210063,148.6227882786801,267.29925778037625,838.996222433291
DFL (GL-based),10,76,3724.8893421052626,1512.7700106892967,3777.8909210526317,-1.7246052631578948,72.82644736842106,307.7651315789473,1.6722368421052631
DFL (GL-based),20,76,3720.717236842104,1510.3878036465549,3780.164078947367,-0.7740789473684212,76.42342105263158,306.3036842105264,1.7356578947368417
DFL (GL-based),30,76,3720.967894736842,1506.0463895912512,3782.469078947369,-0.874078947368421,78.77736842105263,306.5186842105263,1.7456578947368424
DFL (GL-based),40,76,3717.7475,1506.0617074999502,3784.7239473684203,0.08342105263157965,81.26710526315789,306.58421052631576,1.62
DFL (GL-based),50,76,3718.4915789473685,1513.512958661892,3781.6325,0.14960526315789502,77.2671052631579,306.70789473684215,1.7774999999999996
DFL (GL-based),60,76,3714.7315789473687,1509.994253902579,3773.2977631578956,0.4530263157894738,71.69197368421052,305.4507894736842,1.7999999999999998
DFL (GL-based),70,76,3710.6451315789477,1514.2237717849525,3777.105526315789,-1.2653947368421055,85.10921052631579,307.8747368421053,1.7831578947368427
DFL (GL-based),80,76,3717.452368421052,1521.533749027271,3784.5673684210533,0.8609210526315794,79.02302631578948,305.53723684210524,1.7128947368421052
DFL (GL-based),RS,76,3714.2219736842103,1530.0824704657978,3770.532894736841,-2.155,77.72013157894736,310.1069736842105,1.6686842105263158
DFL (PW-based),10,76,3781.154868421052,1521.2918419119924,3957.1472368421055,-16.883684210526315,241.60881578947365,269.7259210526316,1.7465789473684208
DFL (PW-based),20,76,3781.8096052631568,1520.9130299154217,3936.4490789473684,-15.001184210526318,213.43973684210528,269.73710526315784,1.5773684210526313
DFL (PW-based),30,76,3780.9657894736847,1528.4159586388892,3937.676052631579,-15.540526315789473,218.02565789473684,269.6356578947368,1.7252631578947368
